"StartDate\Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"01-01","127","165","206","122","122","131","267","273","188","212"
"01-06","130","189","178","114","129","134","260","257","217","244"
"01-11","150","193","184","154","124","119","250","263","179","274"
"01-16","211","184","203","176","146","144","243","261","131","270"
"01-21","202","154","203","216","207","140","229","203","158","264"
"01-26","204","181","226","244","205","169","191","175","120","254"
"01-31","189","219","202","261","183","177","189","234","128","235"
"02-05","211","223","224","253","185","178","193","257","137","200"
"02-10","192","267","242","269","240","179","189","275","141","149"
"02-15","170","287","280","309","206","192","274","269","253","173"
"02-20","157","325","275","306","183","223","282","271","257","175"
"02-25","150","329","271","316","185","200","272","274","304","190"
"03-02","181","320","260","307","160","209","278","252","306","176"
"03-07","180","287","241","330","166","207","264","267","282","198"
"03-12","179","282","190","238","93","177","132","266","252","172"
"03-17","206","225","189","350","106","124","99","236","203","188"
"03-22","256","224","192","334","132","117","85","204","188","176"
"03-27","225","231","191","323","125","131","74","215","193","169"
"04-01","225","270","179","305","117","115","84","230","192","194"
"04-06","252","289","227","314","133","140","90","212","212","202"
"04-11","255","267","214","165","143","194","94","191","189","200"
"04-16","192","183","212","159","176","194","67","197","181","162"
"04-21","154","134","196","154","154","215","78","192","173","155"
"04-26","160","108","174","201","163","202","86","175","171","105"
"05-01","139","87","163","196","168","182","83","176","155","126"
"05-06","90","75","86","182","182","132","81","178","158","140"
"05-11","78","68","110","172","159","119","75","175","148","141"
"05-16","90","65","116","168","151","115","141","162","142","135"
"05-21","80","117","131","140","138","121","106","146","123","119"
"05-26","66","114","103","112","114","141","98","115","92","105"
"05-31","67","100","120","121","72","127","98","85","76","61"
"06-05","65","76","96","116","97","118","89","86","66","59"
"06-10","71","73","66","92","89","114","106","73","57","66"
"06-15","62","71","71","62","93","115","123","62","60","71"
"06-20","71","64","84","66","87","127","127","58","58","69"
"06-25","52","69","61","66","76","130","108","68","56","79"
"06-30","65","76","53","49","58","126","105","70","64","77"
"07-05","86","93","61","61","68","114","105","76","102","87"
"07-10","82","87","72","69","70","115","86","79","110","75"
"07-15","91","90","81","75","72","93","91","81","102","88"
"07-20","131","100","105","76","68","88","95","69","93","98"
"07-25","111","106","117","87","84","97","95","77","85","100"
"07-30","120","86","114","92","1","103","71","82","74","110"
"08-04","134","85","95","114","1","124","102","87","73","112"
"08-09","118","76","119","160","1","140","128","90","75","128"
"08-14","103","92","117","180","1","155","126","89","67","132"
"08-19","105","36","108","188","0","163","119","77","77","171"
"08-24","115","44","113","200","1","128","166","141","91","132"
"08-29","99","61","119","205","125","127","157","176","82","142"
"09-03","111","74","117","144","143","120","163","195","110","149"
"09-08","122","143","138","90","146","123","158","212","123","151"
"09-13","131","142","157","105","155","117","164","202","123","155"
"09-18","158","282","206","132","138","124","178","221","102","177"
"09-23","153","263","222","153","164","111","159","133","110","232"
"09-28","181","278","240","190","162","179","159","188","144","261"
"10-03","202","159","250","204","239","161","160","181","168","250"
"10-08","241","160","231","205","216","152","240","204","165","250"
"10-13","268","197","203","240","232","168","247","259","180","232"
"10-18","135","211","212","248","236","169","210","253","189","199"
"10-23","135","209","213","242","231","123","204","241","192","195"
"10-28","147","185","191","224","213","131","207","281","224","221"
"11-02","138","255","232","219","213","188","146","263","248","225"
"11-07","107","233","221","171","218","266","139","294","247","246"
"11-12","125","253","235","135","211","314","165","327","259","229"
"11-17","246","226","206","148","213","323","141","300","245","198"
"11-22","208","215","211","172","213","333","128","299","204","201"
"11-27","225","160","226","163","132","327","194","307","207","167"
"12-02","246","178","214","177","128","318","216","295","169","205"
