"StartDate\Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"01-01","74","98","103","61","70","71","129","133","103","96"
"01-06","76","107","89","69","70","71","128","122","118","115"
"01-11","86","103","90","86","62","58","125","127","98","137"
"01-16","116","99","102","95","80","89","120","128","64","135"
"01-21","115","75","108","110","108","86","112","111","86","138"
"01-26","113","80","124","130","112","100","102","100","67","132"
"01-31","105","113","117","138","100","107","102","129","70","126"
"02-05","115","119","132","131","109","106","104","137","78","117"
"02-10","95","133","140","142","133","98","108","145","83","95"
"02-15","88","146","148","153","123","103","141","142","133","102"
"02-20","74","158","143","154","117","122","142","146","134","100"
"02-25","74","158","137","154","109","109","139","145","148","103"
"03-02","87","155","135","148","92","118","144","133","144","99"
"03-07","93","144","125","158","87","118","139","134","141","108"
"03-12","94","144","108","129","41","97","61","130","129","94"
"03-17","105","114","97","161","43","71","51","116","112","102"
"03-22","126","111","104","155","66","62","43","102","111","105"
"03-27","114","121","99","146","67","65","35","107","118","103"
"04-01","117","139","92","138","66","60","39","110","113","107"
"04-06","124","140","119","142","82","69","40","100","125","100"
"04-11","129","142","111","86","89","103","38","84","110","103"
"04-16","106","83","104","83","102","96","29","90","111","84"
"04-21","89","59","101","77","87","104","40","91","104","79"
"04-26","95","46","93","99","89","94","38","84","96","52"
"05-01","71","37","81","94","94","86","33","80","79","57"
"05-06","47","28","44","85","98","64","30","79","86","61"
"05-11","34","28","54","83","79","62","30","76","88","59"
"05-16","40","23","54","81","82","60","72","66","75","61"
"05-21","35","54","68","67","71","65","49","65","60","62"
"05-26","27","52","55","50","54","71","54","55","44","58"
"05-31","29","48","61","59","37","58","55","42","37","36"
"06-05","22","41","50","59","36","51","52","38","27","40"
"06-10","25","46","32","48","37","49","59","36","19","42"
"06-15","19","40","30","30","39","44","60","35","18","43"
"06-20","26","36","32","31","34","56","64","33","19","33"
"06-25","13","37","27","28","35","57","58","36","13","40"
"06-30","19","35","31","20","28","53","56","36","28","43"
"07-05","33","46","32","32","35","46","49","44","47","41"
"07-10","32","46","33","30","38","49","39","50","63","31"
"07-15","46","45","40","38","43","38","43","49","56","40"
"07-20","64","47","53","35","36","40","43","36","53","53"
"07-25","49","54","52","43","49","45","36","42","40","59"
"07-30","52","41","47","37","0","55","31","39","39","68"
"08-04","69","42","46","46","0","61","51","31","35","65"
"08-09","56","38","61","85","0","61","64","37","36","71"
"08-14","53","59","62","90","0","79","66","39","37","68"
"08-19","56","19","57","95","0","79","65","34","43","85"
"08-24","60","24","49","99","0","54","95","67","48","56"
"08-29","45","31","50","101","71","56","86","89","44","65"
"09-03","49","41","55","67","79","53","85","97","58","74"
"09-08","54","64","62","39","80","58","79","109","66","78"
"09-13","55","64","67","52","87","51","80","97","71","88"
"09-18","64","139","90","71","86","63","78","112","58","97"
"09-23","70","135","92","80","100","59","81","59","58","125"
"09-28","88","140","108","88","104","85","80","82","77","132"
"10-03","111","93","118","100","135","77","80","82","89","127"
"10-08","130","97","109","106","126","76","120","97","77","131"
"10-13","139","116","102","126","130","88","126","124","84","112"
"10-18","67","117","108","125","125","88","112","126","86","103"
"10-23","67","115","111","127","124","65","117","127","92","102"
"10-28","68","102","96","118","121","58","117","152","120","112"
"11-02","63","138","119","117","130","96","82","142","125","117"
"11-07","49","112","119","86","130","138","75","149","124","132"
"11-12","55","131","119","70","131","157","87","151","129","127"
"11-17","124","119","114","76","109","156","80","146","124","113"
"11-22","112","112","114","93","111","151","75","146","102","117"
"11-27","119","88","116","83","71","153","110","149","105","106"
"12-02","122","96","104","95","72","152","123","148","90","110"
