"StartDate","Count","Class"
"01-01","2","L"
"01-06","3","L"
"01-11","1","L"
"01-16","3","L"
"01-21","3","L"
"01-26","3","L"
"01-31","3","L"
"02-05","5","M"
"02-10","7","H"
"02-15","6","M"
"02-20","6","M"
"02-25","6","M"
"03-02","7","H"
"03-07","8","H"
"03-12","8","H"
"03-17","8","H"
"03-22","7","H"
"03-27","7","H"
"04-01","7","H"
"04-06","8","H"
"04-11","7","H"
"04-16","6","M"
"04-21","5","M"
"04-26","5","M"
"05-01","5","M"
"05-06","7","H"
"05-11","7","H"
"05-16","5","M"
"05-21","5","M"
"05-26","5","M"
"05-31","2","L"
"06-05","3","L"
"06-10","2","L"
"06-15","3","L"
"06-20","4","M"
"06-25","3","L"
"06-30","1","L"
"07-05","3","L"
"07-10","2","L"
"07-15","3","L"
"07-20","3","L"
"07-25","3","L"
"07-30","2","L"
"08-04","2","L"
"08-09","3","L"
"08-14","5","M"
"08-19","5","M"
"08-24","5","M"
"08-29","3","L"
"09-03","2","L"
"09-08","1","L"
"09-13","2","L"
"09-18","3","L"
"09-23","4","M"
"09-28","5","M"
"10-03","4","M"
"10-08","4","M"
"10-13","4","M"
"10-18","4","M"
"10-23","4","M"
"10-28","5","M"
"11-02","4","M"
"11-07","6","M"
"11-12","8","H"
"11-17","7","H"
"11-22","6","M"
"11-27","6","M"
"12-02","6","M"
