"StartDate","Count","Class"
"01-01","3","L"
"01-06","4","M"
"01-11","3","L"
"01-16","2","L"
"01-21","0","L"
"01-26","0","L"
"01-31","1","L"
"02-05","3","L"
"02-10","1","L"
"02-15","2","L"
"02-20","1","L"
"02-25","3","L"
"03-02","3","L"
"03-07","2","L"
"03-12","2","L"
"03-17","2","L"
"03-22","1","L"
"03-27","1","L"
"04-01","3","L"
"04-06","2","L"
"04-11","2","L"
"04-16","1","L"
"04-21","2","L"
"04-26","3","L"
"05-01","3","L"
"05-06","1","L"
"05-11","2","L"
"05-16","1","L"
"05-21","2","L"
"05-26","0","L"
"05-31","1","L"
"06-05","3","L"
"06-10","5","M"
"06-15","4","M"
"06-20","4","M"
"06-25","4","M"
"06-30","3","L"
"07-05","0","L"
"07-10","0","L"
"07-15","1","L"
"07-20","2","L"
"07-25","1","L"
"07-30","1","L"
"08-04","0","L"
"08-09","1","L"
"08-14","0","L"
"08-19","0","L"
"08-24","1","L"
"08-29","0","L"
"09-03","0","L"
"09-08","0","L"
"09-13","1","L"
"09-18","2","L"
"09-23","2","L"
"09-28","2","L"
"10-03","3","L"
"10-08","4","M"
"10-13","5","M"
"10-18","4","M"
"10-23","5","M"
"10-28","6","M"
"11-02","4","M"
"11-07","4","M"
"11-12","4","M"
"11-17","2","L"
"11-22","3","L"
"11-27","3","L"
"12-02","3","L"
