"StartDate","Count","Class"
"01-01","2","L"
"01-06","1","L"
"01-11","0","L"
"01-16","0","L"
"01-21","0","L"
"01-26","0","L"
"01-31","1","L"
"02-05","2","L"
"02-10","3","L"
"02-15","4","M"
"02-20","2","L"
"02-25","4","M"
"03-02","1","L"
"03-07","3","L"
"03-12","0","L"
"03-17","0","L"
"03-22","2","L"
"03-27","1","L"
"04-01","0","L"
"04-06","1","L"
"04-11","1","L"
"04-16","3","L"
"04-21","2","L"
"04-26","2","L"
"05-01","1","L"
"05-06","1","L"
"05-11","2","L"
"05-16","2","L"
"05-21","3","L"
"05-26","1","L"
"05-31","2","L"
"06-05","1","L"
"06-10","1","L"
"06-15","1","L"
"06-20","1","L"
"06-25","0","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","1","L"
"07-25","0","L"
"07-30","0","L"
"08-04","0","L"
"08-09","0","L"
"08-14","0","L"
"08-19","0","L"
"08-24","1","L"
"08-29","1","L"
"09-03","3","L"
"09-08","3","L"
"09-13","4","M"
"09-18","2","L"
"09-23","2","L"
"09-28","5","M"
"10-03","4","M"
"10-08","2","L"
"10-13","2","L"
"10-18","2","L"
"10-23","2","L"
"10-28","2","L"
"11-02","3","L"
"11-07","5","M"
"11-12","7","H"
"11-17","6","M"
"11-22","4","M"
"11-27","4","M"
"12-02","5","M"
