"StartDate","Count","Class"
"01-01","6","M"
"01-06","5","M"
"01-11","8","H"
"01-16","6","M"
"01-21","6","M"
"01-26","4","M"
"01-31","4","M"
"02-05","5","M"
"02-10","5","M"
"02-15","7","H"
"02-20","6","M"
"02-25","6","M"
"03-02","7","H"
"03-07","6","M"
"03-12","6","M"
"03-17","6","M"
"03-22","5","M"
"03-27","5","M"
"04-01","5","M"
"04-06","6","M"
"04-11","7","H"
"04-16","5","M"
"04-21","5","M"
"04-26","3","L"
"05-01","1","L"
"05-06","1","L"
"05-11","0","L"
"05-16","1","L"
"05-21","1","L"
"05-26","3","L"
"05-31","3","L"
"06-05","3","L"
"06-10","4","M"
"06-15","4","M"
"06-20","1","L"
"06-25","0","L"
"06-30","0","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","1","L"
"07-25","2","L"
"07-30","1","L"
"08-04","1","L"
"08-09","0","L"
"08-14","2","L"
"08-19","3","L"
"08-24","3","L"
"08-29","4","M"
"09-03","3","L"
"09-08","3","L"
"09-13","2","L"
"09-18","2","L"
"09-23","2","L"
"09-28","1","L"
"10-03","3","L"
"10-08","4","M"
"10-13","4","M"
"10-18","4","M"
"10-23","3","L"
"10-28","4","M"
"11-02","4","M"
"11-07","3","L"
"11-12","3","L"
"11-17","3","L"
"11-22","2","L"
"11-27","6","M"
"12-02","4","M"
