"StartDate","Count","Class"
"01-01","2","L"
"01-06","1","L"
"01-11","2","L"
"01-16","2","L"
"01-21","2","L"
"01-26","3","L"
"01-31","2","L"
"02-05","3","L"
"02-10","4","M"
"02-15","6","M"
"02-20","8","H"
"02-25","7","H"
"03-02","6","M"
"03-07","5","M"
"03-12","4","M"
"03-17","5","M"
"03-22","6","M"
"03-27","4","M"
"04-01","3","L"
"04-06","4","M"
"04-11","2","L"
"04-16","2","L"
"04-21","2","L"
"04-26","1","L"
"05-01","2","L"
"05-06","2","L"
"05-11","3","L"
"05-16","3","L"
"05-21","2","L"
"05-26","2","L"
"05-31","2","L"
"06-05","3","L"
"06-10","4","M"
"06-15","2","L"
"06-20","1","L"
"06-25","1","L"
"06-30","2","L"
"07-05","3","L"
"07-10","3","L"
"07-15","3","L"
"07-20","2","L"
"07-25","3","L"
"07-30","2","L"
"08-04","3","L"
"08-09","5","M"
"08-14","3","L"
"08-19","6","M"
"08-24","3","L"
"08-29","2","L"
"09-03","3","L"
"09-08","2","L"
"09-13","2","L"
"09-18","4","M"
"09-23","6","M"
"09-28","7","H"
"10-03","8","H"
"10-08","7","H"
"10-13","9","H"
"10-18","8","H"
"10-23","8","H"
"10-28","4","M"
"11-02","7","H"
"11-07","4","M"
"11-12","3","L"
"11-17","4","M"
"11-22","3","L"
"11-27","2","L"
"12-02","3","L"
