"StartDate","Count","Class"
"01-01","9","H"
"01-06","8","H"
"01-11","6","M"
"01-16","6","M"
"01-21","9","H"
"01-26","10","H"
"01-31","10","H"
"02-05","10","H"
"02-10","10","H"
"02-15","10","H"
"02-20","9","H"
"02-25","9","H"
"03-02","9","H"
"03-07","9","H"
"03-12","6","M"
"03-17","6","M"
"03-22","6","M"
"03-27","7","H"
"04-01","5","M"
"04-06","6","M"
"04-11","5","M"
"04-16","4","M"
"04-21","4","M"
"04-26","5","M"
"05-01","3","L"
"05-06","2","L"
"05-11","2","L"
"05-16","2","L"
"05-21","2","L"
"05-26","1","L"
"05-31","0","L"
"06-05","2","L"
"06-10","0","L"
"06-15","0","L"
"06-20","1","L"
"06-25","1","L"
"06-30","1","L"
"07-05","1","L"
"07-10","2","L"
"07-15","2","L"
"07-20","2","L"
"07-25","2","L"
"07-30","2","L"
"08-04","1","L"
"08-09","2","L"
"08-14","4","M"
"08-19","4","M"
"08-24","3","L"
"08-29","4","M"
"09-03","4","M"
"09-08","6","M"
"09-13","7","H"
"09-18","9","H"
"09-23","7","H"
"09-28","8","H"
"10-03","7","H"
"10-08","8","H"
"10-13","9","H"
"10-18","8","H"
"10-23","8","H"
"10-28","7","H"
"11-02","8","H"
"11-07","8","H"
"11-12","8","H"
"11-17","9","H"
"11-22","9","H"
"11-27","8","H"
"12-02","8","H"
