"StartDate","Count","Class"
"01-01","2","L"
"01-06","0","L"
"01-11","1","L"
"01-16","2","L"
"01-21","4","M"
"01-26","2","L"
"01-31","4","M"
"02-05","3","L"
"02-10","3","L"
"02-15","2","L"
"02-20","1","L"
"02-25","0","L"
"03-02","2","L"
"03-07","3","L"
"03-12","3","L"
"03-17","2","L"
"03-22","1","L"
"03-27","2","L"
"04-01","1","L"
"04-06","4","M"
"04-11","4","M"
"04-16","6","M"
"04-21","2","L"
"04-26","3","L"
"05-01","3","L"
"05-06","2","L"
"05-11","4","M"
"05-16","2","L"
"05-21","6","M"
"05-26","4","M"
"05-31","3","L"
"06-05","2","L"
"06-10","1","L"
"06-15","0","L"
"06-20","0","L"
"06-25","2","L"
"06-30","1","L"
"07-05","2","L"
"07-10","3","L"
"07-15","3","L"
"07-20","4","M"
"07-25","5","M"
"07-30","2","L"
"08-04","3","L"
"08-09","3","L"
"08-14","2","L"
"08-19","1","L"
"08-24","2","L"
"08-29","1","L"
"09-03","2","L"
"09-08","2","L"
"09-13","4","M"
"09-18","5","M"
"09-23","4","M"
"09-28","5","M"
"10-03","4","M"
"10-08","2","L"
"10-13","2","L"
"10-18","4","M"
"10-23","3","L"
"10-28","4","M"
"11-02","3","L"
"11-07","3","L"
"11-12","2","L"
"11-17","2","L"
"11-22","1","L"
"11-27","1","L"
"12-02","0","L"
