"StartDate","Count","Class"
"01-01","5","M"
"01-06","5","M"
"01-11","6","M"
"01-16","6","M"
"01-21","4","M"
"01-26","5","M"
"01-31","5","M"
"02-05","6","M"
"02-10","5","M"
"02-15","4","M"
"02-20","4","M"
"02-25","2","L"
"03-02","2","L"
"03-07","1","L"
"03-12","2","L"
"03-17","1","L"
"03-22","1","L"
"03-27","2","L"
"04-01","2","L"
"04-06","2","L"
"04-11","2","L"
"04-16","3","L"
"04-21","2","L"
"04-26","3","L"
"05-01","1","L"
"05-06","1","L"
"05-11","2","L"
"05-16","1","L"
"05-21","3","L"
"05-26","2","L"
"05-31","3","L"
"06-05","3","L"
"06-10","2","L"
"06-15","2","L"
"06-20","2","L"
"06-25","2","L"
"06-30","3","L"
"07-05","2","L"
"07-10","3","L"
"07-15","2","L"
"07-20","2","L"
"07-25","2","L"
"07-30","2","L"
"08-04","2","L"
"08-09","1","L"
"08-14","4","M"
"08-19","4","M"
"08-24","1","L"
"08-29","3","L"
"09-03","3","L"
"09-08","1","L"
"09-13","2","L"
"09-18","2","L"
"09-23","1","L"
"09-28","2","L"
"10-03","5","M"
"10-08","5","M"
"10-13","5","M"
"10-18","5","M"
"10-23","4","M"
"10-28","2","L"
"11-02","3","L"
"11-07","5","M"
"11-12","3","L"
"11-17","6","M"
"11-22","6","M"
"11-27","4","M"
"12-02","5","M"
