"StartDate","Count","Class"
"01-01","2","L"
"01-06","3","L"
"01-11","2","L"
"01-16","0","L"
"01-21","1","L"
"01-26","2","L"
"01-31","0","L"
"02-05","2","L"
"02-10","1","L"
"02-15","1","L"
"02-20","1","L"
"02-25","3","L"
"03-02","3","L"
"03-07","3","L"
"03-12","2","L"
"03-17","3","L"
"03-22","3","L"
"03-27","3","L"
"04-01","5","M"
"04-06","7","H"
"04-11","5","M"
"04-16","5","M"
"04-21","4","M"
"04-26","3","L"
"05-01","3","L"
"05-06","3","L"
"05-11","2","L"
"05-16","2","L"
"05-21","3","L"
"05-26","1","L"
"05-31","0","L"
"06-05","3","L"
"06-10","2","L"
"06-15","2","L"
"06-20","3","L"
"06-25","5","M"
"06-30","4","M"
"07-05","4","M"
"07-10","3","L"
"07-15","2","L"
"07-20","3","L"
"07-25","3","L"
"07-30","4","M"
"08-04","2","L"
"08-09","1","L"
"08-14","0","L"
"08-19","2","L"
"08-24","0","L"
"08-29","2","L"
"09-03","0","L"
"09-08","1","L"
"09-13","0","L"
"09-18","1","L"
"09-23","0","L"
"09-28","1","L"
"10-03","2","L"
"10-08","1","L"
"10-13","2","L"
"10-18","4","M"
"10-23","1","L"
"10-28","1","L"
"11-02","2","L"
"11-07","1","L"
"11-12","1","L"
"11-17","0","L"
"11-22","0","L"
"11-27","2","L"
"12-02","2","L"
