"StartDate","Count","Class"
"01-01","3","L"
"01-06","2","L"
"01-11","3","L"
"01-16","4","M"
"01-21","4","M"
"01-26","2","L"
"01-31","3","L"
"02-05","1","L"
"02-10","1","L"
"02-15","3","L"
"02-20","1","L"
"02-25","2","L"
"03-02","0","L"
"03-07","0","L"
"03-12","1","L"
"03-17","2","L"
"03-22","4","M"
"03-27","5","M"
"04-01","4","M"
"04-06","4","M"
"04-11","5","M"
"04-16","3","L"
"04-21","3","L"
"04-26","5","M"
"05-01","6","M"
"05-06","4","M"
"05-11","2","L"
"05-16","2","L"
"05-21","0","L"
"05-26","1","L"
"05-31","0","L"
"06-05","0","L"
"06-10","0","L"
"06-15","0","L"
"06-20","1","L"
"06-25","0","L"
"06-30","1","L"
"07-05","0","L"
"07-10","0","L"
"07-15","1","L"
"07-20","1","L"
"07-25","0","L"
"07-30","1","L"
"08-04","2","L"
"08-09","2","L"
"08-14","2","L"
"08-19","2","L"
"08-24","2","L"
"08-29","3","L"
"09-03","3","L"
"09-08","2","L"
"09-13","5","M"
"09-18","3","L"
"09-23","3","L"
"09-28","5","M"
"10-03","4","M"
"10-08","4","M"
"10-13","4","M"
"10-18","2","L"
"10-23","2","L"
"10-28","1","L"
"11-02","1","L"
"11-07","3","L"
"11-12","1","L"
"11-17","1","L"
"11-22","1","L"
"11-27","1","L"
"12-02","1","L"
