"StartDate","Count","Class"
"01-01","2","L"
"01-06","1","L"
"01-11","2","L"
"01-16","3","L"
"01-21","3","L"
"01-26","2","L"
"01-31","2","L"
"02-05","2","L"
"02-10","1","L"
"02-15","6","M"
"02-20","3","L"
"02-25","4","M"
"03-02","3","L"
"03-07","5","M"
"03-12","3","L"
"03-17","3","L"
"03-22","4","M"
"03-27","4","M"
"04-01","7","H"
"04-06","8","H"
"04-11","7","H"
"04-16","7","H"
"04-21","7","H"
"04-26","6","M"
"05-01","4","M"
"05-06","6","M"
"05-11","4","M"
"05-16","4","M"
"05-21","4","M"
"05-26","4","M"
"05-31","7","H"
"06-05","7","H"
"06-10","5","M"
"06-15","4","M"
"06-20","6","M"
"06-25","5","M"
"06-30","6","M"
"07-05","5","M"
"07-10","8","H"
"07-15","8","H"
"07-20","7","H"
"07-25","6","M"
"07-30","5","M"
"08-04","6","M"
"08-09","5","M"
"08-14","6","M"
"08-19","6","M"
"08-24","5","M"
"08-29","5","M"
"09-03","6","M"
"09-08","6","M"
"09-13","6","M"
"09-18","7","H"
"09-23","2","L"
"09-28","3","L"
"10-03","2","L"
"10-08","2","L"
"10-13","4","M"
"10-18","3","L"
"10-23","0","L"
"10-28","1","L"
"11-02","0","L"
"11-07","0","L"
"11-12","0","L"
"11-17","0","L"
"11-22","1","L"
"11-27","3","L"
"12-02","1","L"
