"StartDate","Count","Class"
"01-01","1","L"
"01-06","1","L"
"01-11","5","M"
"01-16","1","L"
"01-21","3","L"
"01-26","0","L"
"01-31","0","L"
"02-05","0","L"
"02-10","1","L"
"02-15","3","L"
"02-20","3","L"
"02-25","5","M"
"03-02","4","M"
"03-07","4","M"
"03-12","2","L"
"03-17","2","L"
"03-22","3","L"
"03-27","1","L"
"04-01","1","L"
"04-06","0","L"
"04-11","1","L"
"04-16","1","L"
"04-21","1","L"
"04-26","1","L"
"05-01","1","L"
"05-06","0","L"
"05-11","0","L"
"05-16","2","L"
"05-21","2","L"
"05-26","1","L"
"05-31","2","L"
"06-05","2","L"
"06-10","2","L"
"06-15","3","L"
"06-20","2","L"
"06-25","0","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","4","M"
"07-20","1","L"
"07-25","1","L"
"07-30","0","L"
"08-04","0","L"
"08-09","0","L"
"08-14","0","L"
"08-19","0","L"
"08-24","1","L"
"08-29","0","L"
"09-03","0","L"
"09-08","0","L"
"09-13","0","L"
"09-18","2","L"
"09-23","1","L"
"09-28","0","L"
"10-03","1","L"
"10-08","1","L"
"10-13","1","L"
"10-18","1","L"
"10-23","2","L"
"10-28","1","L"
"11-02","1","L"
"11-07","1","L"
"11-12","4","M"
"11-17","3","L"
"11-22","3","L"
"11-27","5","M"
"12-02","4","M"
