"StartDate","Count","Class"
"01-01","4","M"
"01-06","6","M"
"01-11","6","M"
"01-16","9","H"
"01-21","8","H"
"01-26","7","H"
"01-31","9","H"
"02-05","8","H"
"02-10","7","H"
"02-15","8","H"
"02-20","8","H"
"02-25","9","H"
"03-02","9","H"
"03-07","9","H"
"03-12","8","H"
"03-17","7","H"
"03-22","7","H"
"03-27","7","H"
"04-01","7","H"
"04-06","6","M"
"04-11","5","M"
"04-16","5","M"
"04-21","4","M"
"04-26","7","H"
"05-01","6","M"
"05-06","3","L"
"05-11","3","L"
"05-16","5","M"
"05-21","5","M"
"05-26","4","M"
"05-31","2","L"
"06-05","0","L"
"06-10","1","L"
"06-15","1","L"
"06-20","3","L"
"06-25","2","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","1","L"
"07-25","1","L"
"07-30","1","L"
"08-04","0","L"
"08-09","0","L"
"08-14","0","L"
"08-19","2","L"
"08-24","2","L"
"08-29","3","L"
"09-03","4","M"
"09-08","4","M"
"09-13","3","L"
"09-18","4","M"
"09-23","2","L"
"09-28","2","L"
"10-03","4","M"
"10-08","7","H"
"10-13","7","H"
"10-18","8","H"
"10-23","8","H"
"10-28","9","H"
"11-02","8","H"
"11-07","7","H"
"11-12","9","H"
"11-17","9","H"
"11-22","10","H"
"11-27","10","H"
"12-02","10","H"
