"StartDate\Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"01-01","47","68","67","37","49","42","81","88","66","62"
"01-06","50","71","60","46","47","41","82","86","77","74"
"01-11","55","66","56","57","46","35","82","88","60","86"
"01-16","69","63","61","67","48","61","77","84","43","85"
"01-21","71","43","69","75","70","57","69","75","57","87"
"01-26","72","52","80","86","75","71","66","70","43","85"
"01-31","62","75","75","91","70","76","66","83","47","78"
"02-05","70","78","79","84","76","71","65","87","56","72"
"02-10","55","84","86","91","84","65","68","92","59","64"
"02-15","52","91","90","93","81","69","88","91","85","66"
"02-20","45","98","91","95","78","81","93","93","92","60"
"02-25","46","98","86","95","71","71","89","94","97","66"
"03-02","52","93","87","93","63","79","89","90","95","64"
"03-07","57","90","84","99","60","78","89","93","93","68"
"03-12","66","91","77","87","25","63","38","85","85","57"
"03-17","69","70","68","102","32","43","35","71","75","65"
"03-22","82","70","72","99","41","37","32","62","71","77"
"03-27","71","77","68","92","43","41","25","59","81","76"
"04-01","77","91","63","90","42","37","27","61","73","79"
"04-06","82","93","75","92","49","40","27","56","80","71"
"04-11","86","94","79","61","53","66","25","56","69","71"
"04-16","69","56","75","60","66","58","20","56","73","56"
"04-21","62","39","76","55","58","67","24","58","72","54"
"04-26","70","31","70","66","63","62","25","53","61","36"
"05-01","48","21","58","64","66","60","22","51","49","38"
"05-06","28","14","29","54","70","46","17","50","55","42"
"05-11","19","14","38","52","54","45","18","48","58","41"
"05-16","23","14","38","52","59","43","52","42","50","41"
"05-21","19","34","44","44","52","44","36","39","38","41"
"05-26","14","29","37","32","45","47","43","30","26","40"
"05-31","21","31","40","40","27","36","41","20","25","25"
"06-05","15","28","30","42","25","32","36","18","18","28"
"06-10","18","31","20","34","26","33","38","20","11","30"
"06-15","13","27","20","19","22","32","38","22","11","27"
"06-20","17","24","23","19","21","35","45","21","10","24"
"06-25","10","23","18","16","23","36","35","27","7","27"
"06-30","17","23","17","15","15","32","36","27","15","30"
"07-05","25","32","16","21","21","34","32","29","32","30"
"07-10","24","30","21","21","26","34","27","35","42","20"
"07-15","27","29","25","24","30","22","28","30","38","25"
"07-20","40","29","30","26","29","20","25","22","33","34"
"07-25","31","33","29","27","39","31","24","28","30","40"
"07-30","37","25","28","23","0","39","22","24","27","48"
"08-04","47","25","29","30","0","42","32","17","18","49"
"08-09","40","22","40","53","0","40","44","23","22","47"
"08-14","37","42","42","56","0","56","42","23","24","47"
"08-19","39","14","39","58","0","56","44","25","23","53"
"08-24","36","15","31","61","0","42","67","45","26","32"
"08-29","29","19","30","61","45","44","58","59","23","38"
"09-03","29","30","32","38","52","42","53","65","34","45"
"09-08","32","38","33","21","52","40","55","70","41","46"
"09-13","32","37","40","33","60","34","49","61","44","59"
"09-18","37","88","56","50","63","40","51","74","37","64"
"09-23","43","87","55","56","70","34","56","40","37","84"
"09-28","55","89","68","62","70","56","60","52","51","82"
"10-03","71","62","77","70","87","48","53","55","58","84"
"10-08","81","64","71","71","83","51","80","65","51","87"
"10-13","88","77","66","85","85","59","81","80","58","69"
"10-18","42","76","74","84","84","62","72","79","57","65"
"10-23","42","76","71","81","80","43","77","80","56","67"
"10-28","42","66","62","76","79","37","81","95","83","73"
"11-02","40","85","74","73","86","66","56","91","83","76"
"11-07","27","70","80","58","86","92","50","92","80","87"
"11-12","32","85","73","47","86","97","60","90","81","82"
"11-17","83","77","75","50","75","97","54","90","79","71"
"11-22","75","71","75","60","76","95","50","89","63","74"
"11-27","72","57","74","52","49","96","76","92","63","70"
"12-02","75","59","72","63","52","93","82","90","56","71"
