"StartDate","Count","Class"
"01-01","0","L"
"01-06","1","L"
"01-11","0","L"
"01-16","1","L"
"01-21","0","L"
"01-26","1","L"
"01-31","1","L"
"02-05","1","L"
"02-10","1","L"
"02-15","2","L"
"02-20","3","L"
"02-25","5","M"
"03-02","7","H"
"03-07","2","L"
"03-12","6","M"
"03-17","8","H"
"03-22","8","H"
"03-27","10","H"
"04-01","10","H"
"04-06","9","H"
"04-11","7","H"
"04-16","6","M"
"04-21","7","H"
"04-26","9","H"
"05-01","6","M"
"05-06","6","M"
"05-11","5","M"
"05-16","3","L"
"05-21","2","L"
"05-26","3","L"
"05-31","4","M"
"06-05","2","L"
"06-10","2","L"
"06-15","3","L"
"06-20","3","L"
"06-25","2","L"
"06-30","5","M"
"07-05","2","L"
"07-10","3","L"
"07-15","3","L"
"07-20","3","L"
"07-25","3","L"
"07-30","2","L"
"08-04","2","L"
"08-09","3","L"
"08-14","4","M"
"08-19","4","M"
"08-24","5","M"
"08-29","4","M"
"09-03","4","M"
"09-08","4","M"
"09-13","5","M"
"09-18","4","M"
"09-23","5","M"
"09-28","4","M"
"10-03","5","M"
"10-08","5","M"
"10-13","3","L"
"10-18","2","L"
"10-23","1","L"
"10-28","0","L"
"11-02","1","L"
"11-07","2","L"
"11-12","1","L"
"11-17","1","L"
"11-22","0","L"
"11-27","0","L"
"12-02","1","L"
