"StartDate","Count","Class"
"01-01","2","L"
"01-06","3","L"
"01-11","2","L"
"01-16","1","L"
"01-21","1","L"
"01-26","3","L"
"01-31","1","L"
"02-05","2","L"
"02-10","3","L"
"02-15","3","L"
"02-20","6","M"
"02-25","2","L"
"03-02","2","L"
"03-07","3","L"
"03-12","3","L"
"03-17","2","L"
"03-22","1","L"
"03-27","0","L"
"04-01","1","L"
"04-06","3","L"
"04-11","3","L"
"04-16","1","L"
"04-21","1","L"
"04-26","0","L"
"05-01","1","L"
"05-06","2","L"
"05-11","4","M"
"05-16","1","L"
"05-21","1","L"
"05-26","4","M"
"05-31","1","L"
"06-05","2","L"
"06-10","3","L"
"06-15","1","L"
"06-20","1","L"
"06-25","1","L"
"06-30","1","L"
"07-05","3","L"
"07-10","1","L"
"07-15","3","L"
"07-20","4","M"
"07-25","3","L"
"07-30","1","L"
"08-04","4","M"
"08-09","3","L"
"08-14","5","M"
"08-19","5","M"
"08-24","3","L"
"08-29","3","L"
"09-03","3","L"
"09-08","2","L"
"09-13","5","M"
"09-18","3","L"
"09-23","5","M"
"09-28","6","M"
"10-03","6","M"
"10-08","7","H"
"10-13","5","M"
"10-18","6","M"
"10-23","5","M"
"10-28","3","L"
"11-02","3","L"
"11-07","0","L"
"11-12","2","L"
"11-17","4","M"
"11-22","3","L"
"11-27","4","M"
"12-02","5","M"
