"StartDate","Count","Class"
"01-01","4","M"
"01-06","3","L"
"01-11","4","M"
"01-16","4","M"
"01-21","4","M"
"01-26","4","M"
"01-31","6","M"
"02-05","7","H"
"02-10","8","H"
"02-15","9","H"
"02-20","8","H"
"02-25","6","M"
"03-02","6","M"
"03-07","6","M"
"03-12","5","M"
"03-17","9","H"
"03-22","6","M"
"03-27","8","H"
"04-01","7","H"
"04-06","6","M"
"04-11","5","M"
"04-16","5","M"
"04-21","3","L"
"04-26","2","L"
"05-01","1","L"
"05-06","2","L"
"05-11","2","L"
"05-16","4","M"
"05-21","5","M"
"05-26","3","L"
"05-31","1","L"
"06-05","0","L"
"06-10","0","L"
"06-15","1","L"
"06-20","3","L"
"06-25","1","L"
"06-30","0","L"
"07-05","1","L"
"07-10","2","L"
"07-15","3","L"
"07-20","2","L"
"07-25","4","M"
"07-30","1","L"
"08-04","3","L"
"08-09","3","L"
"08-14","3","L"
"08-19","5","M"
"08-24","5","M"
"08-29","4","M"
"09-03","5","M"
"09-08","5","M"
"09-13","5","M"
"09-18","7","H"
"09-23","6","M"
"09-28","8","H"
"10-03","8","H"
"10-08","10","H"
"10-13","7","H"
"10-18","7","H"
"10-23","7","H"
"10-28","7","H"
"11-02","4","M"
"11-07","5","M"
"11-12","3","L"
"11-17","5","M"
"11-22","5","M"
"11-27","4","M"
"12-02","4","M"
