"StartDate","Count","Class"
"01-01","5","M"
"01-06","6","M"
"01-11","4","M"
"01-16","7","H"
"01-21","5","M"
"01-26","7","H"
"01-31","9","H"
"02-05","9","H"
"02-10","9","H"
"02-15","8","H"
"02-20","5","M"
"02-25","4","M"
"03-02","4","M"
"03-07","5","M"
"03-12","5","M"
"03-17","5","M"
"03-22","4","M"
"03-27","3","L"
"04-01","4","M"
"04-06","4","M"
"04-11","4","M"
"04-16","3","L"
"04-21","2","L"
"04-26","2","L"
"05-01","1","L"
"05-06","2","L"
"05-11","0","L"
"05-16","0","L"
"05-21","0","L"
"05-26","0","L"
"05-31","0","L"
"06-05","1","L"
"06-10","0","L"
"06-15","0","L"
"06-20","0","L"
"06-25","1","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","0","L"
"07-20","1","L"
"07-25","1","L"
"07-30","1","L"
"08-04","2","L"
"08-09","3","L"
"08-14","3","L"
"08-19","3","L"
"08-24","2","L"
"08-29","3","L"
"09-03","4","M"
"09-08","2","L"
"09-13","2","L"
"09-18","1","L"
"09-23","2","L"
"09-28","3","L"
"10-03","4","M"
"10-08","2","L"
"10-13","4","M"
"10-18","3","L"
"10-23","3","L"
"10-28","5","M"
"11-02","4","M"
"11-07","4","M"
"11-12","2","L"
"11-17","2","L"
"11-22","3","L"
"11-27","3","L"
"12-02","5","M"
