"StartDate","Count","Class"
"01-01","7","H"
"01-06","4","M"
"01-11","5","M"
"01-16","5","M"
"01-21","4","M"
"01-26","4","M"
"01-31","6","M"
"02-05","4","M"
"02-10","2","L"
"02-15","2","L"
"02-20","2","L"
"02-25","4","M"
"03-02","3","L"
"03-07","3","L"
"03-12","2","L"
"03-17","1","L"
"03-22","1","L"
"03-27","2","L"
"04-01","1","L"
"04-06","0","L"
"04-11","2","L"
"04-16","2","L"
"04-21","0","L"
"04-26","1","L"
"05-01","3","L"
"05-06","3","L"
"05-11","3","L"
"05-16","1","L"
"05-21","5","M"
"05-26","3","L"
"05-31","4","M"
"06-05","4","M"
"06-10","3","L"
"06-15","3","L"
"06-20","4","M"
"06-25","4","M"
"06-30","3","L"
"07-05","3","L"
"07-10","2","L"
"07-15","2","L"
"07-20","1","L"
"07-25","4","M"
"07-30","3","L"
"08-04","1","L"
"08-09","1","L"
"08-14","1","L"
"08-19","2","L"
"08-24","4","M"
"08-29","4","M"
"09-03","3","L"
"09-08","4","M"
"09-13","5","M"
"09-18","3","L"
"09-23","3","L"
"09-28","3","L"
"10-03","5","M"
"10-08","6","M"
"10-13","5","M"
"10-18","6","M"
"10-23","7","H"
"10-28","4","M"
"11-02","4","M"
"11-07","3","L"
"11-12","5","M"
"11-17","4","M"
"11-22","5","M"
"11-27","4","M"
"12-02","5","M"
