"StartDate","Count","Class"
"01-01","3","L"
"01-06","2","L"
"01-11","2","L"
"01-16","5","M"
"01-21","2","L"
"01-26","2","L"
"01-31","5","M"
"02-05","3","L"
"02-10","4","M"
"02-15","0","L"
"02-20","1","L"
"02-25","3","L"
"03-02","1","L"
"03-07","5","M"
"03-12","4","M"
"03-17","4","M"
"03-22","4","M"
"03-27","5","M"
"04-01","3","L"
"04-06","3","L"
"04-11","2","L"
"04-16","4","M"
"04-21","5","M"
"04-26","4","M"
"05-01","3","L"
"05-06","2","L"
"05-11","2","L"
"05-16","1","L"
"05-21","2","L"
"05-26","1","L"
"05-31","4","M"
"06-05","3","L"
"06-10","2","L"
"06-15","1","L"
"06-20","2","L"
"06-25","2","L"
"06-30","2","L"
"07-05","4","M"
"07-10","4","M"
"07-15","4","M"
"07-20","4","M"
"07-25","4","M"
"07-30","4","M"
"08-04","5","M"
"08-09","5","M"
"08-14","4","M"
"08-19","5","M"
"08-24","5","M"
"08-29","6","M"
"09-03","5","M"
"09-08","7","H"
"09-13","4","M"
"09-18","3","L"
"09-23","5","M"
"09-28","5","M"
"10-03","6","M"
"10-08","3","L"
"10-13","3","L"
"10-18","4","M"
"10-23","3","L"
"10-28","3","L"
"11-02","4","M"
"11-07","3","L"
"11-12","2","L"
"11-17","4","M"
"11-22","3","L"
"11-27","1","L"
"12-02","3","L"
