"StartDate","Count","Class"
"01-01","6","M"
"01-06","4","M"
"01-11","4","M"
"01-16","8","H"
"01-21","5","M"
"01-26","8","H"
"01-31","6","M"
"02-05","6","M"
"02-10","4","M"
"02-15","5","M"
"02-20","7","H"
"02-25","8","H"
"03-02","8","H"
"03-07","8","H"
"03-12","7","H"
"03-17","7","H"
"03-22","6","M"
"03-27","6","M"
"04-01","6","M"
"04-06","6","M"
"04-11","6","M"
"04-16","4","M"
"04-21","4","M"
"04-26","3","L"
"05-01","2","L"
"05-06","2","L"
"05-11","1","L"
"05-16","1","L"
"05-21","2","L"
"05-26","1","L"
"05-31","3","L"
"06-05","1","L"
"06-10","1","L"
"06-15","2","L"
"06-20","1","L"
"06-25","1","L"
"06-30","0","L"
"07-05","0","L"
"07-10","1","L"
"07-15","1","L"
"07-20","2","L"
"07-25","1","L"
"07-30","0","L"
"08-04","1","L"
"08-09","2","L"
"08-14","2","L"
"08-19","2","L"
"08-24","2","L"
"08-29","2","L"
"09-03","4","M"
"09-08","3","L"
"09-13","3","L"
"09-18","5","M"
"09-23","3","L"
"09-28","3","L"
"10-03","3","L"
"10-08","5","M"
"10-13","6","M"
"10-18","6","M"
"10-23","6","M"
"10-28","8","H"
"11-02","8","H"
"11-07","8","H"
"11-12","8","H"
"11-17","5","M"
"11-22","6","M"
"11-27","6","M"
"12-02","7","H"
