"StartDate","Count","Class"
"01-01","5","M"
"01-06","6","M"
"01-11","7","H"
"01-16","6","M"
"01-21","5","M"
"01-26","9","H"
"01-31","7","H"
"02-05","7","H"
"02-10","6","M"
"02-15","7","H"
"02-20","6","M"
"02-25","8","H"
"03-02","7","H"
"03-07","8","H"
"03-12","6","M"
"03-17","5","M"
"03-22","6","M"
"03-27","7","H"
"04-01","7","H"
"04-06","4","M"
"04-11","4","M"
"04-16","6","M"
"04-21","7","H"
"04-26","5","M"
"05-01","3","L"
"05-06","3","L"
"05-11","5","M"
"05-16","1","L"
"05-21","4","M"
"05-26","3","L"
"05-31","1","L"
"06-05","0","L"
"06-10","1","L"
"06-15","1","L"
"06-20","2","L"
"06-25","1","L"
"06-30","1","L"
"07-05","0","L"
"07-10","0","L"
"07-15","0","L"
"07-20","2","L"
"07-25","1","L"
"07-30","1","L"
"08-04","2","L"
"08-09","1","L"
"08-14","2","L"
"08-19","2","L"
"08-24","1","L"
"08-29","1","L"
"09-03","4","M"
"09-08","3","L"
"09-13","3","L"
"09-18","4","M"
"09-23","4","M"
"09-28","5","M"
"10-03","7","H"
"10-08","6","M"
"10-13","7","H"
"10-18","7","H"
"10-23","6","M"
"10-28","8","H"
"11-02","9","H"
"11-07","5","M"
"11-12","7","H"
"11-17","5","M"
"11-22","4","M"
"11-27","4","M"
"12-02","5","M"
