"StartDate","Count","Class"
"01-01","3","L"
"01-06","4","M"
"01-11","3","L"
"01-16","2","L"
"01-21","4","M"
"01-26","5","M"
"01-31","4","M"
"02-05","5","M"
"02-10","6","M"
"02-15","5","M"
"02-20","5","M"
"02-25","5","M"
"03-02","6","M"
"03-07","4","M"
"03-12","3","L"
"03-17","3","L"
"03-22","3","L"
"03-27","3","L"
"04-01","5","M"
"04-06","5","M"
"04-11","4","M"
"04-16","2","L"
"04-21","3","L"
"04-26","2","L"
"05-01","1","L"
"05-06","2","L"
"05-11","2","L"
"05-16","1","L"
"05-21","3","L"
"05-26","1","L"
"05-31","1","L"
"06-05","3","L"
"06-10","2","L"
"06-15","1","L"
"06-20","1","L"
"06-25","0","L"
"06-30","0","L"
"07-05","2","L"
"07-10","2","L"
"07-15","2","L"
"07-20","4","M"
"07-25","2","L"
"07-30","1","L"
"08-04","1","L"
"08-09","2","L"
"08-14","1","L"
"08-19","4","M"
"08-24","1","L"
"08-29","2","L"
"09-03","2","L"
"09-08","1","L"
"09-13","2","L"
"09-18","4","M"
"09-23","3","L"
"09-28","3","L"
"10-03","3","L"
"10-08","4","M"
"10-13","6","M"
"10-18","2","L"
"10-23","4","M"
"10-28","4","M"
"11-02","4","M"
"11-07","4","M"
"11-12","6","M"
"11-17","6","M"
"11-22","7","H"
"11-27","6","M"
"12-02","5","M"
