"StartDate","Count","Class"
"01-01","6","M"
"01-06","3","L"
"01-11","3","L"
"01-16","4","M"
"01-21","5","M"
"01-26","5","M"
"01-31","5","M"
"02-05","7","H"
"02-10","5","M"
"02-15","5","M"
"02-20","4","M"
"02-25","5","M"
"03-02","2","L"
"03-07","2","L"
"03-12","0","L"
"03-17","4","M"
"03-22","1","L"
"03-27","1","L"
"04-01","2","L"
"04-06","4","M"
"04-11","3","L"
"04-16","4","M"
"04-21","2","L"
"04-26","2","L"
"05-01","2","L"
"05-06","0","L"
"05-11","1","L"
"05-16","0","L"
"05-21","1","L"
"05-26","1","L"
"05-31","1","L"
"06-05","3","L"
"06-10","1","L"
"06-15","0","L"
"06-20","1","L"
"06-25","1","L"
"06-30","2","L"
"07-05","2","L"
"07-10","2","L"
"07-15","3","L"
"07-20","3","L"
"07-25","3","L"
"07-30","3","L"
"08-04","1","L"
"08-09","1","L"
"08-14","4","M"
"08-19","4","M"
"08-24","3","L"
"08-29","2","L"
"09-03","4","M"
"09-08","4","M"
"09-13","5","M"
"09-18","7","H"
"09-23","7","H"
"09-28","8","H"
"10-03","8","H"
"10-08","6","M"
"10-13","7","H"
"10-18","7","H"
"10-23","5","M"
"10-28","6","M"
"11-02","6","M"
"11-07","7","H"
"11-12","8","H"
"11-17","8","H"
"11-22","6","M"
"11-27","7","H"
"12-02","5","M"
