"StartDate","Count","Class"
"01-01","7","H"
"01-06","6","M"
"01-11","6","M"
"01-16","8","H"
"01-21","9","H"
"01-26","7","H"
"01-31","6","M"
"02-05","5","M"
"02-10","5","M"
"02-15","6","M"
"02-20","6","M"
"02-25","6","M"
"03-02","6","M"
"03-07","5","M"
"03-12","3","L"
"03-17","4","M"
"03-22","6","M"
"03-27","6","M"
"04-01","5","M"
"04-06","5","M"
"04-11","4","M"
"04-16","0","L"
"04-21","0","L"
"04-26","1","L"
"05-01","2","L"
"05-06","2","L"
"05-11","3","L"
"05-16","2","L"
"05-21","0","L"
"05-26","2","L"
"05-31","2","L"
"06-05","0","L"
"06-10","3","L"
"06-15","0","L"
"06-20","1","L"
"06-25","0","L"
"06-30","0","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","0","L"
"07-25","1","L"
"07-30","2","L"
"08-04","1","L"
"08-09","1","L"
"08-14","1","L"
"08-19","2","L"
"08-24","1","L"
"08-29","2","L"
"09-03","1","L"
"09-08","2","L"
"09-13","5","M"
"09-18","4","M"
"09-23","4","M"
"09-28","4","M"
"10-03","4","M"
"10-08","4","M"
"10-13","7","H"
"10-18","7","H"
"10-23","8","H"
"10-28","9","H"
"11-02","9","H"
"11-07","6","M"
"11-12","8","H"
"11-17","9","H"
"11-22","9","H"
"11-27","8","H"
"12-02","8","H"
