"StartDate","Count","Class"
"01-01","5","M"
"01-06","7","H"
"01-11","5","M"
"01-16","6","M"
"01-21","7","H"
"01-26","5","M"
"01-31","2","L"
"02-05","5","M"
"02-10","8","H"
"02-15","8","H"
"02-20","8","H"
"02-25","7","H"
"03-02","5","M"
"03-07","6","M"
"03-12","5","M"
"03-17","4","M"
"03-22","5","M"
"03-27","5","M"
"04-01","5","M"
"04-06","5","M"
"04-11","5","M"
"04-16","2","L"
"04-21","3","L"
"04-26","2","L"
"05-01","1","L"
"05-06","2","L"
"05-11","2","L"
"05-16","3","L"
"05-21","3","L"
"05-26","5","M"
"05-31","1","L"
"06-05","3","L"
"06-10","0","L"
"06-15","0","L"
"06-20","1","L"
"06-25","1","L"
"06-30","1","L"
"07-05","2","L"
"07-10","4","M"
"07-15","4","M"
"07-20","3","L"
"07-25","3","L"
"07-30","1","L"
"08-04","1","L"
"08-09","2","L"
"08-14","3","L"
"08-19","4","M"
"08-24","3","L"
"08-29","5","M"
"09-03","3","L"
"09-08","5","M"
"09-13","6","M"
"09-18","3","L"
"09-23","7","H"
"09-28","7","H"
"10-03","7","H"
"10-08","8","H"
"10-13","7","H"
"10-18","6","M"
"10-23","7","H"
"10-28","7","H"
"11-02","6","M"
"11-07","6","M"
"11-12","8","H"
"11-17","9","H"
"11-22","9","H"
"11-27","8","H"
"12-02","9","H"
