"StartDate","Count","Class"
"01-01","7","H"
"01-06","8","H"
"01-11","6","M"
"01-16","8","H"
"01-21","7","H"
"01-26","7","H"
"01-31","8","H"
"02-05","8","H"
"02-10","9","H"
"02-15","7","H"
"02-20","7","H"
"02-25","7","H"
"03-02","8","H"
"03-07","8","H"
"03-12","4","M"
"03-17","5","M"
"03-22","6","M"
"03-27","8","H"
"04-01","6","M"
"04-06","7","H"
"04-11","8","H"
"04-16","7","H"
"04-21","6","M"
"04-26","3","L"
"05-01","3","L"
"05-06","2","L"
"05-11","3","L"
"05-16","3","L"
"05-21","2","L"
"05-26","2","L"
"05-31","0","L"
"06-05","1","L"
"06-10","0","L"
"06-15","0","L"
"06-20","0","L"
"06-25","3","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","2","L"
"07-20","0","L"
"07-25","1","L"
"07-30","2","L"
"08-04","2","L"
"08-09","1","L"
"08-14","2","L"
"08-19","1","L"
"08-24","0","L"
"08-29","3","L"
"09-03","4","M"
"09-08","6","M"
"09-13","7","H"
"09-18","7","H"
"09-23","9","H"
"09-28","9","H"
"10-03","9","H"
"10-08","6","M"
"10-13","7","H"
"10-18","7","H"
"10-23","7","H"
"10-28","7","H"
"11-02","10","H"
"11-07","9","H"
"11-12","10","H"
"11-17","8","H"
"11-22","5","M"
"11-27","3","L"
"12-02","5","M"
