"StartDate","Count","Class"
"01-01","5","M"
"01-06","6","M"
"01-11","8","H"
"01-16","6","M"
"01-21","7","H"
"01-26","6","M"
"01-31","6","M"
"02-05","6","M"
"02-10","7","H"
"02-15","7","H"
"02-20","6","M"
"02-25","9","H"
"03-02","6","M"
"03-07","6","M"
"03-12","5","M"
"03-17","5","M"
"03-22","5","M"
"03-27","6","M"
"04-01","3","L"
"04-06","4","M"
"04-11","6","M"
"04-16","6","M"
"04-21","3","L"
"04-26","4","M"
"05-01","4","M"
"05-06","4","M"
"05-11","4","M"
"05-16","5","M"
"05-21","5","M"
"05-26","4","M"
"05-31","2","L"
"06-05","2","L"
"06-10","3","L"
"06-15","7","H"
"06-20","3","L"
"06-25","4","M"
"06-30","4","M"
"07-05","2","L"
"07-10","1","L"
"07-15","1","L"
"07-20","2","L"
"07-25","2","L"
"07-30","4","M"
"08-04","5","M"
"08-09","5","M"
"08-14","5","M"
"08-19","5","M"
"08-24","6","M"
"08-29","5","M"
"09-03","4","M"
"09-08","4","M"
"09-13","6","M"
"09-18","6","M"
"09-23","5","M"
"09-28","4","M"
"10-03","4","M"
"10-08","6","M"
"10-13","6","M"
"10-18","5","M"
"10-23","5","M"
"10-28","4","M"
"11-02","3","L"
"11-07","6","M"
"11-12","5","M"
"11-17","4","M"
"11-22","5","M"
"11-27","4","M"
"12-02","3","L"
