"StartDate\Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"01-01","V"," "," "," ","V"," ","V"," "," ","V"
"01-06","V"," "," "," ","V"," ","V"," "," ","V"
"01-11"," "," "," "," ","V"," ","V"," "," ","V"
"01-16"," "," "," "," "," "," ","V"," "," ","V"
"01-21"," "," "," "," ","V"," "," ","V","V"," "
"01-26"," "," "," "," ","V"," "," "," ","V","V"
"01-31"," ","V"," ","V"," "," "," "," "," "," "
"02-05"," "," "," "," "," "," "," "," "," "," "
"02-10"," "," "," "," "," "," "," "," "," "," "
"02-15","V"," "," "," "," "," "," "," "," ","V"
"02-20"," "," "," "," "," "," "," "," "," "," "
"02-25"," "," "," "," "," "," "," "," "," "," "
"03-02"," "," "," "," "," "," "," ","V"," "," "
"03-07"," "," "," "," "," "," "," ","V"," "," "
"03-12"," "," "," ","V"," "," "," "," "," "," "
"03-17"," "," "," ","V"," "," "," "," "," "," "
"03-22"," "," "," "," "," "," "," "," "," "," "
"03-27"," "," "," "," "," "," "," "," "," "," "
"04-01"," "," "," "," "," "," "," "," "," "," "
"04-06"," "," "," "," "," "," "," "," "," "," "
"04-11"," "," "," "," "," "," "," ","V"," "," "
"04-16"," "," "," "," "," "," "," ","V"," "," "
"04-21"," "," "," "," "," "," "," ","V"," "," "
"04-26"," "," "," "," "," "," "," ","V"," "," "
"05-01"," "," "," "," "," "," "," ","V"," "," "
"05-06","V"," "," "," "," "," "," ","V"," "," "
"05-11","V"," "," "," "," "," "," ","V"," "," "
"05-16"," "," "," "," "," "," "," ","V"," "," "
"05-21"," "," "," "," "," "," "," "," "," "," "
"05-26"," "," "," "," "," "," "," "," "," "," "
"05-31"," "," "," "," "," "," "," "," "," "," "
"06-05"," "," "," "," "," "," "," "," "," "," "
"06-10"," "," ","V"," "," "," "," "," "," "," "
"06-15"," "," ","V"," "," "," "," "," "," "," "
"06-20"," "," "," "," "," "," "," "," ","V"," "
"06-25"," "," "," "," "," "," "," "," "," "," "
"06-30"," "," "," "," "," "," "," "," "," "," "
"07-05"," "," "," "," "," "," "," "," ","V"," "
"07-10"," "," "," "," "," "," "," "," ","V"," "
"07-15"," "," "," "," "," "," "," "," ","V"," "
"07-20"," "," ","V"," "," "," ","V"," "," "," "
"07-25"," "," ","V"," "," "," ","V"," "," "," "
"07-30","V"," "," "," "," "," "," ","V"," "," "
"08-04"," "," "," "," "," "," "," ","V"," "," "
"08-09"," "," "," "," "," "," "," ","V"," "," "
"08-14"," "," "," "," "," "," "," ","V"," "," "
"08-19"," "," "," "," "," "," ","V"," "," "," "
"08-24"," "," "," "," "," "," "," "," "," "," "
"08-29"," "," "," "," "," "," "," "," "," "," "
"09-03"," "," "," "," "," "," "," "," "," "," "
"09-08"," "," "," "," "," "," "," "," ","V"," "
"09-13"," "," "," "," "," "," "," "," ","V"," "
"09-18"," "," "," "," "," "," "," "," ","V"," "
"09-23"," "," ","V"," "," "," "," "," ","V"," "
"09-28"," "," ","V"," "," "," "," "," ","V"," "
"10-03"," "," ","V"," "," "," ","V"," ","V"," "
"10-08"," "," "," "," "," "," "," "," ","V"," "
"10-13"," "," "," "," "," "," ","V"," ","V"," "
"10-18"," "," "," "," "," "," "," "," ","V"," "
"10-23"," "," "," "," "," "," "," "," ","V"," "
"10-28"," "," "," "," "," "," "," "," ","V"," "
"11-02"," "," "," "," "," "," "," "," "," "," "
"11-07"," "," "," "," "," "," "," "," "," "," "
"11-12"," "," "," "," "," "," "," "," "," "," "
"11-17"," "," "," "," "," "," "," "," "," "," "
"11-22"," "," "," "," "," "," "," "," "," "," "
"11-27"," "," "," "," "," "," "," "," ","V"," "
"12-02"," "," "," "," "," "," "," "," "," "," "
