"StartDate\Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"01-01","238","324","392","262","231","253","494","474","375","395"
"01-06","241","359","327","233","241","249","506","457","426","455"
"01-11","260","360","324","273","231","221","491","473","334","506"
"01-16","355","348","335","309","258","281","460","475","220","503"
"01-21","341","287","327","382","386","288","421","382","269","474"
"01-26","358","358","361","422","385","318","370","315","217","454"
"01-31","353","426","311","463","363","305","363","412","235","408"
"02-05","369","442","320","443","352","297","343","447","263","336"
"02-10","356","505","401","453","435","303","334","504","264","260"
"02-15","353","578","465","544","345","337","550","487","459","310"
"02-20","313","663","456","549","307","387","546","513","432","298"
"02-25","305","654","445","573","321","360","548","490","517","321"
"03-02","347","600","451","541","286","377","551","474","530","305"
"03-07","321","516","408","571","306","374","539","489","475","324"
"03-12","295","501","297","430","218","331","249","460","408","306"
"03-17","352","399","309","645","210","218","191","426","327","320"
"03-22","445","373","334","593","265","225","148","377","336","300"
"03-27","393","397","317","568","246","253","129","415","320","295"
"04-01","376","482","285","570","221","235","151","430","329","365"
"04-06","432","508","374","574","243","253","158","383","397","385"
"04-11","425","470","382","286","240","359","180","358","337","389"
"04-16","319","302","369","285","298","348","134","351","308","351"
"04-21","280","212","342","292","270","388","131","336","302","330"
"04-26","284","185","302","345","302","355","168","299","301","213"
"05-01","268","150","288","341","306","350","158","299","266","230"
"05-06","188","135","170","331","340","264","142","309","267","303"
"05-11","166","118","189","289","301","229","134","286","235","307"
"05-16","169","110","216","318","281","218","247","284","223","297"
"05-21","165","231","220","275","284","219","211","267","215","247"
"05-26","146","217","196","251","233","264","175","230","187","217"
"05-31","125","194","217","248","171","236","190","179","178","140"
"06-05","123","149","190","227","221","235","172","181","174","127"
"06-10","132","158","161","187","219","264","200","159","164","137"
"06-15","130","156","166","143","203","277","237","121","170","155"
"06-20","156","144","171","135","191","316","257","116","159","153"
"06-25","115","147","146","132","168","310","248","134","146","166"
"06-30","158","156","115","119","143","292","245","145","146","154"
"07-05","180","189","125","126","167","244","246","147","213","169"
"07-10","187","194","149","135","163","242","219","151","240","145"
"07-15","188","200","166","137","147","198","233","169","230","174"
"07-20","238","212","219","135","136","180","204","161","221","185"
"07-25","217","212","244","183","165","197","216","182","208","181"
"07-30","219","175","231","201","1","211","166","181","146","200"
"08-04","231","174","216","226","1","256","204","184","148","205"
"08-09","230","158","231","265","1","268","241","172","140","222"
"08-14","206","160","229","311","1","306","231","177","123","227"
"08-19","229","84","200","324","0","313","217","140","143","295"
"08-24","214","90","209","337","1","240","286","308","167","252"
"08-29","198","110","223","367","217","255","289","350","163","254"
"09-03","208","141","220","317","235","257","303","385","202","253"
"09-08","206","231","236","185","237","271","324","420","212","249"
"09-13","230","238","279","233","256","273","319","407","217","257"
"09-18","280","460","344","257","238","281","295","440","197","325"
"09-23","250","450","394","300","263","246","282","268","203","415"
"09-28","309","455","420","371","273","349","277","336","246","496"
"10-03","346","273","460","420","445","338","289","326","278","458"
"10-08","438","257","408","425","432","296","387","355","294","485"
"10-13","468","317","366","453","467","322","395","425","317","426"
"10-18","233","354","370","460","434","324","342","405","343","358"
"10-23","227","340","369","447","434","248","336","378","325","407"
"10-28","233","318","323","416","417","253","336","544","398","463"
"11-02","228","434","416","399","392","327","285","522","383","500"
"11-07","190","414","394","275","394","494","254","602","395","513"
"11-12","214","448","417","234","389","582","285","696","417","453"
"11-17","408","432","389","265","430","583","249","659","390","394"
"11-22","346","380","368","318","458","637","235","625","323","376"
"11-27","391","319","413","277","283","639","354","590","326","271"
"12-02","453","352","390","309","247","649","386","550","296","350"
