id,name,long,lat,alt
74207124201,GRAY AFF AIRPORT,-122.58333031583183,47.08333031583183,0
04018016201,KEFLAVIK NAVAL AIR STATION,-22.599999999999994,63.96666968416818,0
72292593117,NALF/F. SHERMAN FLD ARPT,-118.58805974652986,33.02333031583183,0
01055099999,FRUHOLMEN FYR,23.98333333333332,71.1,0
01059099999,BANAK,24.97348923757795,70.06881412190705,0
01078099999,SLETTNES FYR,28.23333333333332,71.1,0
91765061705,TAFUNA/PAGO PAGO INTERNATIONAL AP,-170.7136099376383,-14.33056024944679,0
01088699999,SLEIPNER A OIL PLATFORM,1.9000000000000057,58.366666666666674,0
01107099999,ROST (NOR-AFB),12.099999999999994,67.51666666666668,0
01112099999,BRONNOY,12.21750050291692,65.46111144638905,0
01167099999,SORTLAND,15.416666666666657,68.69999999999999,0
01180099999,HARSTAD,16.53333333333333,68.80000000000001,0
01212099999,ONA II,6.533333333333331,62.866666666666674,0
01237099999,HITRA,9.116666666666674,63.51666666666668,0
01238099999,FOKSTUA II,9.283333333333331,62.116666666666674,0
01250099999,FOLLDAL-FREDHEIM,10.0,62.133333333333326,0
01262099999,NORDOYAN FYR,10.550000000000011,64.80000000000001,0
01287099999,SOLENDET,11.816666666666663,62.68333333333334,0
01300599999,STATFJORD OIL RIG,1.8330004023335391,61.21699959766647,0
01308099999,FURUNESET,5.050000000000011,61.30000000000001,0
01317099999,BERGEN/FLORIDA,5.333333333333343,60.383333333333326,0
01320099999,SANDANE/ANDA,6.116666666666674,61.83333333333334,0
01337099999,VOSSEVANGEN,6.433333333333337,60.633333333333326,0
01340099999,FET I EIDFJORD,7.280000000000001,60.41999999999999,0
01362099999,JUVVASSHOE,8.366666666666674,61.66666666666666,0
01364099999,FILEFJELL,8.116666666666674,61.18333333333334,0
01365099999,BEITOSTOLEN II,8.916666666666657,65.25,0
01375099999,KVITFJELL,10.133333333333326,61.46666666666667,0
01380099999,VENABU,10.116666666666674,61.650000000000006,0
01387099999,FAVANG,10.183333333333337,61.44999999999999,0
01412099999,OBRESTAD,5.566666666666663,58.650000000000006,0
01419099999,LIARVATN,6.116666666666674,59.05000000000001,0
01425099999,EIK HOVE,6.51666666666668,58.51666666666668,0
01426099999,EIGEROYA,5.866666666666674,58.43333333333334,0
01447099999,HOYDALSMO II,8.199999999999989,59.5,0
01450099999,MOSSTRAND II,8.183333333333337,59.83333333333334,0
01455099999,TVEITSUND,8.51666666666668,59.03333333333333,0
01466099999,KJELLER AP,11.033333333333331,59.96666666666667,0
01480099999,DRAMMEN BERSKOG,10.133333333333326,59.75,0
01482599999,TORP,10.25862804264736,59.18670287668476,0
01494099999,RYGGE,10.785556226111453,59.37888855361095,0
02044099999,KIRUNA,20.336764232548774,67.82198551599276,0
02101099999,HEMAVAN,15.082778113055724,65.80611144638905,0
02123099999,JAKKVIK,17.099999999999994,66.31666666666666,0
47679043319,ATSUGI US NAVAL AIR STATION,139.45,35.45,0
78543011640,CYRIL E KING AIRPORT,-64.98,18.336299537316435,0
99999903033,MORIARTY AIRPORT,-106.0,34.98472037819353,0
99999903755,GARRETT COUNTY AIRPORT,-79.33943975055321,39.58027962180648,0
01003099999,HORNSUND,15.5,77.0,0
01006099999,EDGEOYA,22.816666666666663,78.25,0
01008099999,LONGYEAR,15.46555622611146,78.24611144638905,0
01010099999,ANDOYA,16.144167169583596,69.29250050291691,0
01015099999,HEKKINGEN FYR,17.833333333333343,69.6,0
02589099999,GOTSKA SANDON,19.19999999999999,58.400000000000006,0
02602099999,HALLANDSASEN,12.949999999999989,56.400000000000006,0
02615099999,FALSTERBO A,12.816666666666663,55.383333333333326,0
02622099999,LJUNGBY,13.883333333333326,56.849999999999994,0
02625099999,SKILLINGE,14.316666666666663,55.48333333333332,0
02636099999,STURUP,13.371638503319247,55.530193120096556,0
02670099999,KALMAR,16.30000000000001,56.68333333333334,0
02766099999,ILOMANTSI POTSONVAARA,31.05000000000001,63.150000000000006,0
02807599999,ENONTEKIO,23.424322067994353,68.36258599879301,0
02850099999,VARKAUS KOLSUANNIEMI,27.900000000000006,62.31666666666666,0
02857099999,INARI ANGELI LINTUPUOLISELKA,25.73333333333332,68.9,0
02859099999,PUOLANKA PALJAKKA,28.05000000000001,64.66666666666666,0
02903099999,KRUUNUPYY,23.143131160732253,63.72117179641924,0
02944099999,TAMPERE PIRKKALA,23.604392476362904,61.414147052906856,0
02946099999,JAMSA HALLI LENTOASEMANTIE,24.816666666666663,61.866666666666674,0
02978099999,HELSINKI KAISANIEMI,24.94999999999999,60.18333333333334,0
02998099999,HELSINKI KUMPULA,24.96666666666667,60.19999999999999,0
03008099999,FAIR ISLE,-1.6333333333333258,59.53333333333333,0
03063099999,AVIEMORE,-3.833333333333343,57.19999999999999,0
03080099999,ABOYNE NO2,-2.833333333333343,57.08333333333334,0
03091099999,DYCE,-2.1977781130557332,57.20194427680548,0
02130099999,ROPARUDDEN,16.416666666666657,66.48333333333332,0
02135099999,BURESJON,17.866666666666674,65.56666666666666,0
02184099999,PAHAROVA,22.333333333333343,66.81666666666666,0
02245099999,VILHELMINA,16.849999999999994,64.58333333333334,0
02245599999,LYCKSELE,18.716219070609526,64.54832226916113,0
02261099999,LYCKSELE,18.71666666666667,64.55000000000001,0
02308099999,TANNAS,12.666666666666657,62.44999999999999,0
02319099999,BORTNAN,13.849999999999994,62.75,0
02325099999,KLOVSJOHOJDEN,14.150000000000006,62.5,0
02327099999,SVEG A,14.400000000000006,62.05000000000001,0
02338099999,EDSBYN,15.716666666666669,61.366666666666674,0
