station,angle,angle_1,angle_2,str,fromto,dist
535640-99999,2003-5-26,110.415717612,103.073420703,119.561020415,5,False,31.0999421143
535640-99999,2003-6-10,81.6354058008,69.7665643764,97.7843502794,4,True,40.7378641173
535640-99999,2003-6-10,157.27636591,150.665280156,162.639620237,5,True,26.8798016818
535640-99999,2003-1-11,181.736622676,155.134376438,207.672688176,9,True,32.6511245506
535640-99999,2003-1-11,100.689839226,87.5589394835,111.745028732,4,False,24.9451776781
535640-99999,2003-6-15,81.6354058008,69.7665643764,97.7843502794,4,True,40.7378641173
535640-99999,2003-5-16,131.210602494,111.745028732,159.42150323,4,True,22.2331733817
535640-99999,2003-5-16,211.452349099,203.508016387,214.534487502,4,False,30.0289000398
535640-99999,2003-1-31,218.774159531,141.051009804,301.256945296,25,True,27.7031449087
535640-99999,2003-1-31,99.6741168198,80.746551319,129.624716317,8,False,28.3646805564
535640-99999,2003-3-12,203.318836513,178.344777634,228.354951955,6,True,22.9683257995
535640-99999,2003-3-12,102.225768878,96.0734680616,108.367450349,6,False,30.6446803463
535640-99999,2003-2-5,193.933445673,132.417586209,254.756350108,21,True,27.1766662686
535640-99999,2003-2-5,293.187639218,289.024207734,301.256945296,4,True,34.2151703842
535640-99999,2003-2-5,323.157001641,309.009147725,334.023444611,4,False,25.3012235535
535640-99999,2003-3-17,115.552424823,105.67103841,132.417586209,5,False,27.915831546
535640-99999,2003-7-30,97.3398227297,85.2292260271,111.745028732,9,False,31.8045940833
535640-99999,2003-1-6,162.082849556,146.951803069,175.473021169,5,True,33.537154252
535640-99999,2003-1-6,197.304678777,179.104619957,211.660913286,6,True,28.5081750615
535640-99999,2003-2-25,196.381893702,162.639620237,241.230770358,5,False,19.6772109879
535640-99999,2003-8-19,333.579987571,228.354951955,254.756350108,4,False,18.4388078834
535640-99999,2003-7-20,300.139832479,283.668220092,329.789555834,6,True,25.3815203337
535640-99999,2003-7-20,131.049082284,105.67103841,173.433543874,8,True,25.2465873928
535640-99999,2003-7-20,91.918569004,80.746551319,103.073420703,8,False,32.1266313778
535640-99999,2003-7-20,205.19229806,196.055063499,214.534487502,4,False,26.4928106801
535640-99999,2003-5-11,103.551931125,97.7843502794,108.367450349,4,False,29.739165385
535640-99999,2003-5-11,177.618251311,162.639620237,196.055063499,4,False,19.7355213676
535640-99999,2003-11-17,192.336322274,119.561020415,249.977877863,18,True,28.5723173083
535640-99999,2003-11-17,94.7269916881,72.7931633379,111.745028732,10,False,33.2947715162
535640-99999,2003-10-28,115.447759176,97.7843502794,132.417586209,4,True,36.8188298675
535640-99999,2003-10-28,206.722049952,158.52104949,249.977877863,12,True,20.0204041262
535640-99999,2003-1-1,197.304678777,179.104619957,211.660913286,6,True,28.5081750615
535640-99999,2003-8-14,78.8538865704,68.2508796212,85.2292260271,4,True,41.7623535203
535640-99999,2003-8-14,147.430436768,134.1148576,159.42150323,4,False,26.5452375419
535640-99999,2003-8-14,238.976889914,222.81837973,254.756350108,4,False,20.9102895372
535640-99999,2003-3-2,311.931176618,290.249367083,321.077978607,4,True,24.0687120901
535640-99999,2003-10-23,112.972073823,102.384885462,132.417586209,6,True,37.1600284242
535640-99999,2003-10-23,179.988370137,158.52104949,196.055063499,6,True,20.0803460049
535640-99999,2003-10-23,227.001292606,213.557629738,249.977877863,7,True,21.799044316
535640-99999,2003-7-10,126.242007447,105.67103841,155.134376438,4,True,22.011215977
535640-99999,2003-7-10,97.2726784275,87.5589394835,103.073420703,4,False,32.648321642
535640-99999,2003-4-26,95.9504108216,87.5589394835,102.384885462,4,True,31.2444705128
535640-99999,2003-4-26,221.190825235,196.622011499,249.977877863,8,True,20.9604682867
535640-99999,2003-4-26,78.2066431514,69.7665643764,86.5380474092,5,False,28.5069175761
535640-99999,2003-11-7,191.538759937,134.1148576,249.977877863,16,True,27.5715433558
535640-99999,2003-11-7,82.8000799948,78.2441572284,86.5380474092,4,False,48.9462438688
535640-99999,2003-7-15,297.940156905,283.668220092,319.805858394,6,True,26.5969238343
535640-99999,2003-7-15,95.1257522239,86.5380474092,103.073420703,5,False,33.0388065368
535640-99999,2003-9-18,226.13537281,203.508016387,249.977877863,6,True,18.8652800383
535640-99999,2003-9-18,87.1934959884,72.7931633379,105.67103841,5,False,30.3044300224
535640-99999,2003-4-21,95.9504108216,87.5589394835,102.384885462,4,True,31.2444705128
535640-99999,2003-4-21,162.472895576,150.665280156,173.433543874,5,True,25.9803207199
535640-99999,2003-4-21,221.190825235,196.622011499,249.977877863,8,True,20.9604682867
535640-99999,2003-4-21,78.2066431514,69.7665643764,86.5380474092,5,False,28.5069175761
535640-99999,2003-11-2,194.252018574,150.665280156,249.977877863,12,True,21.0316206322
535640-99999,2003-5-31,144.348749961,129.624716317,158.52104949,4,True,21.282688087
535640-99999,2003-12-2,75.7448708981,68.2508796212,81.1888893144,4,True,29.8811357492
535640-99999,2003-12-2,198.317072756,178.344777634,228.354951955,8,True,27.9518230266
535640-99999,2003-11-12,186.510773667,119.561020415,249.977877863,19,True,29.2564500682
535640-99999,2003-11-12,88.7892070861,72.7931633379,108.367450349,8,False,42.6230779476
535640-99999,2003-4-1,230.439338366,214.534487502,249.977877863,6,True,18.463298216
535640-99999,2003-4-1,57.5469438892,14.060309564,78.2441572284,6,False,29.1038991912
535640-99999,2003-9-3,103.223628093,72.7931633379,133.224591736,7,False,35.1152004024
535640-99999,2003-5-6,333.910691253,229.677766682,254.756350108,4,True,14.7719022525
535640-99999,2003-5-6,92.222806386,78.2441572284,108.367450349,10,False,36.9442379744
535640-99999,2003-5-1,233.773919418,214.209262769,249.977877863,4,True,18.3437818881
535640-99999,2003-5-1,103.671036882,96.0734680616,111.745028732,6,False,26.2385545138
535640-99999,2003-4-6,181.721504571,173.433543874,196.055063499,5,True,21.775693241
535640-99999,2003-4-6,231.81998707,218.860175832,249.977877863,6,True,17.3127818309
535640-99999,2003-4-6,57.5469438892,14.060309564,78.2441572284,6,False,29.1038991912
535640-99999,2003-3-7,208.393119865,178.344777634,228.354951955,6,True,22.5325690461
535640-99999,2003-1-26,196.505303794,158.52104949,228.354951955,14,True,26.3952252396
535640-99999,2003-1-26,294.102959252,283.668220092,309.009147725,5,True,29.811886044
535640-99999,2003-1-26,106.378266348,80.746551319,134.1148576,7,False,25.9416362702
535640-99999,2003-1-21,175.742713661,155.134376438,188.274669648,4,True,34.4301741097
535640-99999,2003-1-21,211.793065105,196.622011499,228.354951955,10,True,28.4536047301
535640-99999,2003-1-21,103.749566881,81.1888893144,133.224591736,6,False,35.1430651047
535640-99999,2003-7-5,223.27892818,207.672688176,241.230770358,4,True,22.0600993366
535640-99999,2003-2-20,234.605944002,218.860175832,249.977877863,4,True,17.7750719698
535640-99999,2003-10-8,116.623420922,103.073420703,133.224591736,8,True,31.9319812291
535640-99999,2003-10-8,176.775031465,158.52104949,188.274669648,5,True,19.8807635032
535640-99999,2003-10-8,268.855123516,211.660913286,329.789555834,18,True,24.0133137872
535640-99999,2003-2-15,186.685858293,162.639620237,203.508016387,5,True,27.0291019995
535640-99999,2003-2-15,229.133297579,213.557629738,249.977877863,6,True,19.7268441115
535640-99999,2003-4-11,180.826601544,173.433543874,196.055063499,4,True,22.8145765697
535640-99999,2003-4-11,231.81998707,218.860175832,249.977877863,6,True,17.3127818309
535640-99999,2003-4-11,58.0377325702,14.060309564,81.1888893144,6,False,23.0772477868
535640-99999,2003-2-10,184.480928158,162.639620237,203.508016387,8,True,29.6923180041
535640-99999,2003-2-10,230.511327886,213.557629738,254.756350108,8,True,20.9287664265
535640-99999,2003-9-8,208.299866622,196.622011499,218.860175832,4,True,28.4926543779
535640-99999,2003-9-8,93.2389709818,68.2508796212,133.224591736,12,False,36.1444354545
535640-99999,2003-8-4,98.2508225482,86.5380474092,111.745028732,7,False,26.8063560958
535640-99999,2003-3-27,163.524414436,150.665280156,175.473021169,5,True,27.9118260183
535640-99999,2003-3-27,221.141998755,214.534487502,228.354951955,4,True,23.4645371795
535640-99999,2003-3-27,55.4061567428,14.060309564,78.2441572284,5,False,25.612032842
535640-99999,2003-10-3,110.806655642,87.5589394835,133.224591736,5,True,35.5053604115
535640-99999,2003-10-3,263.468992927,213.557629738,321.077978607,14,True,23.0187634002
542730-99999,2003-4-16,74.9420765955,72.3481530273,78.8979539525,5,False,54.2223151234
542730-99999,2003-4-16,90.6576925484,89.7823895481,92.2290017109,4,False,33.8478304246
542730-99999,2003-8-24,73.4053657046,67.444421894,77.4447854163,4,True,38.2541458596
542730-99999,2003-8-24,115.285491154,87.9716711551,134.46459962,11,True,30.9320359646
542730-99999,2003-8-24,154.602762005,144.775830374,164.867981691,9,False,38.1299247673
542730-99999,2003-8-29,78.5371780198,73.2437053884,87.9716711551,4,True,51.6178777859
542730-99999,2003-8-29,153.392389507,142.499037029,164.867981691,10,False,39.3591666979
542730-99999,2003-11-27,83.4298817578,75.4885501196,90.5173011825,4,False,54.4899775537
542730-99999,2003-11-27,101.078661268,94.1311817559,111.367503606,7,False,57.4115843863
542730-99999,2003-11-22,80.1617528162,75.4885501196,87.9716711551,4,False,71.2069407146
542730-99999,2003-11-22,94.1072513233,90.5173011825,99.5515206437,4,False,40.5576383971
542730-99999,2003-7-25,86.8100773126,79.7420045739,90.1020777519,4,True,61.3575266085
542730-99999,2003-7-25,132.225698903,112.071438859,153.103634831,7,True,36.5892296822
542730-99999,2003-7-25,100.823699185,94.1311817559,106.561421571,7,False,51.3511973234
542730-99999,2003-4-11,137.229886984,132.798128427,141.015839834,4,True,31.6304236961
542730-99999,2003-4-11,92.4364581674,89.7823895481,99.5515206437,5,False,36.6096768271
542730-99999,2003-1-11,91.7181533482,83.1674582089,101.952829565,7,False,45.8414136289
542730-99999,2003-1-31,103.914669538,101.82736071,107.454368298,4,True,40.9261018325
542730-99999,2003-1-31,116.427094522,111.954577767,121.321255637,4,True,29.5899446294
542730-99999,2003-1-31,143.996760225,127.971492896,167.634226073,17,True,37.0922503773
542730-99999,2003-9-23,144.724229773,117.703363463,167.634226073,19,True,41.1118190016
542730-99999,2003-9-23,80.6651979408,67.444421894,92.2290017109,6,False,35.7761158659
542730-99999,2003-5-21,80.2763400276,74.7320204899,85.7610959955,4,False,82.1120792791
542730-99999,2003-9-28,110.188399806,94.2760154695,121.321255637,6,True,43.8236542567
542730-99999,2003-9-28,146.167551585,128.922154944,167.634226073,18,True,40.1113495457
542730-99999,2003-1-21,135.615942266,127.971492896,151.105521605,4,True,38.6873273523
542730-99999,2003-1-21,95.746731262,89.7823895481,111.367503606,7,False,41.2330720646
542730-99999,2003-5-16,94.044380577,86.8192197352,101.818554698,6,True,59.0138535411
542730-99999,2003-6-30,98.0446076064,90.1020777519,104.424119577,7,True,47.7766471257
542730-99999,2003-6-30,147.225141203,122.802798219,159.131510024,7,True,36.9862411183
542730-99999,2003-8-14,94.6357435335,87.6138373765,104.424119577,4,True,48.0652866994
542730-99999,2003-8-14,134.037878388,124.677724062,143.595459925,5,True,21.9557505967
542730-99999,2003-8-14,153.118083595,151.105521605,156.206250102,4,True,37.6050258319
542730-99999,2003-8-14,73.4053657046,67.444421894,77.4447854163,4,False,38.2541458596
542730-99999,2003-3-12,78.2752415211,67.444421894,87.9716711551,6,True,46.4027849736
542730-99999,2003-3-12,158.815765906,151.105521605,164.867981691,5,True,35.1776900744
542730-99999,2003-3-12,130.979541845,124.677724062,143.03065127,6,False,38.7304070077
542730-99999,2003-2-5,139.190712253,114.729181221,167.634226073,21,True,37.5447267226
542730-99999,2003-3-17,80.4414054465,73.2437053884,87.9716711551,5,True,53.3326767594
542730-99999,2003-3-17,157.665702017,151.105521605,164.867981691,7,True,34.687410851
542730-99999,2003-3-17,129.542218935,126.810628278,134.46459962,4,False,37.7060257287
542730-99999,2003-7-30,123.378421025,111.954577767,134.46459962,7,True,32.7957180544
542730-99999,2003-2-25,94.2570339993,87.9716711551,101.818554698,6,True,54.823299593
542730-99999,2003-2-25,145.89228725,140.640980057,153.103634831,5,True,27.3266278545
542730-99999,2003-2-20,93.4053928864,87.9716711551,97.2427031653,4,True,60.8368138391
542730-99999,2003-2-20,149.05490299,140.640980057,164.867981691,6,True,28.8160741486
542730-99999,2003-2-20,108.735961692,101.82736071,111.954577767,4,False,47.1277827029
542730-99999,2003-5-11,93.9638220653,87.6138373765,101.818554698,7,True,51.9172007715
542730-99999,2003-11-17,129.219038636,122.802798219,134.46459962,4,True,22.5879105723
542730-99999,2003-11-17,80.1617528162,75.4885501196,87.9716711551,4,False,71.2069407146
542730-99999,2003-8-19,113.291088702,92.2290017109,134.46459962,11,True,30.4406706992
542730-99999,2003-4-26,74.9420765955,72.3481530273,78.8979539525,5,False,54.2223151234
542730-99999,2003-4-26,124.553832949,117.703363463,132.666890867,5,False,50.132764217
542730-99999,2003-9-18,146.225389012,127.971492896,167.634226073,18,True,41.5053684768
542730-99999,2003-9-18,88.2572455525,83.1674582089,94.2760154695,4,False,72.5004361459
542730-99999,2003-4-21,74.9420765955,72.3481530273,78.8979539525,5,False,54.2223151234
542730-99999,2003-4-21,124.553832949,117.703363463,132.666890867,5,False,50.132764217
542730-99999,2003-1-6,115.88324998,107.454368298,122.802798219,4,True,19.9591297922
542730-99999,2003-12-2,101.078661268,94.1311817559,111.367503606,7,False,57.4115843863
542730-99999,2003-9-13,149.573661843,128.922154944,167.634226073,12,True,36.1450667025
542730-99999,2003-4-1,83.0815787016,77.4447854163,87.9716711551,6,True,75.4559310208
542730-99999,2003-4-1,113.006573635,94.2760154695,127.971492896,7,True,52.4222867767
542730-99999,2003-9-3,148.836978822,144.775830374,151.393155026,4,False,40.6391962185
542730-99999,2003-4-6,119.905459362,111.367503606,127.971492896,5,True,49.3667143026
542730-99999,2003-4-6,137.229886984,132.798128427,141.015839834,4,True,31.6304236961
542730-99999,2003-4-6,90.6576925484,89.7823895481,92.2290017109,4,False,33.8478304246
542730-99999,2003-7-20,98.5316819867,90.5173011825,104.507682896,7,False,45.5653856528
542730-99999,2003-3-7,91.0655463906,87.6138373765,94.2760154695,4,True,62.7171492041
542730-99999,2003-1-26,112.055394122,101.82736071,121.321255637,6,True,40.468731529
542730-99999,2003-1-26,146.682985932,129.706315755,167.634226073,10,True,29.9636631619
542730-99999,2003-3-2,93.4445878667,87.6138373765,101.818554698,8,True,56.4415332584
542730-99999,2003-3-2,147.97346288,140.640980057,159.131510024,4,True,30.5355056746
542730-99999,2003-3-2,122.557663585,114.729181221,126.810628278,4,False,35.5337777992
542730-99999,2003-7-5,98.0446076064,90.1020777519,104.424119577,7,True,47.7766471257
542730-99999,2003-7-5,149.25303244,136.998036875,159.131510024,7,True,44.045436956
542730-99999,2003-7-5,80.7470213351,72.3481530273,89.7823895481,4,False,52.9511158341
542730-99999,2003-10-8,76.0370871393,67.444421894,87.9716711551,4,True,29.9039290899
542730-99999,2003-10-8,145.55686762,128.922154944,159.131510024,15,True,40.5622581923
542730-99999,2003-1-16,94.1743221303,83.1674582089,111.367503606,8,False,47.5164748971
542730-99999,2003-2-10,125.162656069,114.729181221,132.666890867,8,True,43.9408114575
542730-99999,2003-2-10,155.134892733,143.595459925,167.634226073,4,True,22.6444152537
542730-99999,2003-2-10,97.280813009,90.5173011825,104.424119577,4,False,30.4099058239
542730-99999,2003-8-9,134.037878388,124.677724062,143.595459925,5,True,21.9557505967
542730-99999,2003-8-9,153.118083595,151.105521605,156.206250102,4,True,37.6050258319
542730-99999,2003-8-4,128.726152122,124.677724062,134.46459962,5,True,36.3316069713
542730-99999,2003-3-27,83.0815787016,77.4447854163,87.9716711551,6,True,75.4559310208
542730-99999,2003-3-27,114.123837609,94.2760154695,127.971492896,7,True,50.5877205159
542730-99999,2003-3-27,90.6576925484,89.7823895481,92.2290017109,4,False,33.8478304246
542730-99999,2003-10-3,87.0440186072,73.2437053884,96.6407867308,9,True,46.5161384685
542730-99999,2003-10-3,116.801038952,104.507682896,124.013120778,6,True,42.8349349476
542730-99999,2003-10-3,144.546382401,128.922154944,159.131510024,15,True,42.6447214537
542730-99999,2003-3-22,83.3577123542,78.8979539525,87.9716711551,4,True,70.975285936
542730-99999,2003-3-22,155.204873263,151.105521605,159.131510024,5,True,33.1544617375
542730-99999,2003-3-22,90.6576925484,89.7823895481,92.2290017109,4,False,33.8478304246
542730-99999,2003-3-22,129.215496548,126.810628278,132.666890867,5,False,45.0112231907
524360-99999,2003-10-13,260.135681619,200.894837864,284.078103066,20,True,36.8998746425
524360-99999,2003-8-29,230.700162147,223.838963072,237.875259914,4,True,39.6014546094
524360-99999,2003-8-29,278.006487222,260.525756547,294.66995209,8,True,31.6731579046
524360-99999,2003-8-24,226.664051112,221.730815773,230.718486372,4,True,47.6169218299
524360-99999,2003-8-24,261.825941575,260.525756547,263.454621611,4,True,33.2155172004
524360-99999,2003-8-24,332.846833687,269.856316197,294.66995209,7,True,29.2376663722
524360-99999,2003-7-20,76.5495025459,60.2081282579,92.9602225753,4,True,24.0270953677
524360-99999,2003-7-20,239.697217535,214.631198929,263.454621611,15,True,32.7596938396
524360-99999,2003-11-27,291.269135697,275.633657847,314.831552392,8,True,41.5995110245
524360-99999,2003-11-27,95.5582765861,85.7568969468,110.862601098,5,True,26.033544204
