station,lng,lat
508880-99999,132.18333333333334,46.31666666666666
535640-99999,111.21666666666664,39.366666666666674
542730-99999,126.75,42.98333333333332
524360-99999,97.03333333333336,40.26666666666668
583450-99999,119.48333333333335,31.433333333333337
524950-99999,104.5,40.75
518280-99999,79.93333333333334,37.13333333333334
501360-99999,122.53333333333336,52.96666666666667
514310-99999,81.33333333333331,43.94999999999999
536460-99999,109.78333333333336,38.26666666666668
573280-99999,107.5,31.200000000000003
542590-99999,124.86666666666667,42.06666666666666
583670-99999,121.3363186481593,31.197874673103996
542920-99999,129.5,42.883333333333326
548080-99999,115.66666666666669,36.233333333333334
548230-99999,116.98333333333335,36.68333333333334
518110-99999,77.26666666666665,38.43333333333334
569850-99999,103.38333333333333,23.38333333333334
591340-99999,118.12773888553613,24.544036411184877
552790-99999,90.01666666666665,31.36666666666666
530830-99999,114.14999999999998,44.616666666666674
543770-99999,126.21666666666664,41.150000000000006
533520-99999,110.43333333333334,41.69999999999999
540120-99999,117.60000000000002,44.58333333333334
586330-99999,118.86666666666667,28.96666666666667
589680-99999,121.51666666666665,25.03333333333333
593580-99999,120.21666666666664,23.0
594560-99999,110.93333333333334,22.349999999999994
539230-99999,107.63333333333333,35.733333333333334
560650-99999,101.60000000000002,34.733333333333334
527870-99999,102.86666666666667,37.2
556960-99999,92.46666666666664,28.41666666666667
548430-99999,119.18333333333334,36.766666666666666
504340-99999,121.69999999999999,50.44999999999999
592780-99999,112.46666666666664,23.049999999999997
543370-99999,121.11666666666667,41.133333333333326
514630-99999,87.61666666666667,43.78333333333333
577450-99999,109.68333333333334,27.450000000000003
533910-99999,114.0,41.900000000000006
548630-99999,121.16666666666669,36.766666666666666
552280-99999,80.08333333333331,32.5
537870-99999,112.98333333333335,37.06666666666666
593160-99999,116.68333333333334,23.400000000000006
539590-99999,111.06666666666666,35.11666666666666
590070-99999,105.06666666666666,24.066666666666663
517090-99999,76.01995574331119,39.5429219472943
526020-99999,93.38333333333333,38.83333333333334
575980-99999,114.58333333333331,29.03333333333333
567480-99999,99.18333333333334,25.11666666666666
560040-99999,92.43333333333334,34.21666666666667
505640-99999,127.35000000000002,49.43333333333334
540260-99999,120.89999999999998,44.56666666666666
528180-99999,94.89999999999998,36.41666666666667
578160-99999,106.80070307785155,26.538522430094545
527370-99999,97.36666666666667,37.36666666666666
582210-99999,117.30000000000001,32.849999999999994
524180-99999,94.68333333333334,40.150000000000006
591170-99999,116.06666666666666,24.28333333333333
569540-99999,99.93333333333334,22.566666666666663
537050-99999,105.68333333333334,37.483333333333334
562470-99999,99.10000000000002,30.0
533360-99999,108.51666666666665,41.56666666666666
528360-99999,98.10000000000002,36.3
561670-99999,101.11666666666667,30.983333333333334
545110-99999,116.58455642727819,40.080110641722
564920-99999,104.60000000000002,28.799999999999997
518860-99999,90.85000000000002,38.25
598450-99999,109.58333333333331,19.516666666666666
594930-99999,113.81066385033193,22.639257694628853
561060-99999,93.78333333333336,31.88333333333334
522030-99999,93.51666666666665,42.81666666666666
594310-99999,108.17244216455441,22.60826694830014
564440-99999,98.88333333333333,28.450000000000003
555780-99999,88.88333333333333,29.25
574760-99999,112.18333333333334,30.33333333333333
587540-99999,120.19999999999999,27.33333333333333
