"StartDate","Count","Class"
"01-01","3","L"
"01-06","2","L"
"01-11","1","L"
"01-16","1","L"
"01-21","1","L"
"01-26","2","L"
"01-31","5","M"
"02-05","5","M"
"02-10","5","M"
"02-15","5","M"
"02-20","4","M"
"02-25","6","M"
"03-02","6","M"
"03-07","3","L"
"03-12","3","L"
"03-17","3","L"
"03-22","3","L"
"03-27","3","L"
"04-01","5","M"
"04-06","6","M"
"04-11","6","M"
"04-16","4","M"
"04-21","4","M"
"04-26","4","M"
"05-01","3","L"
"05-06","1","L"
"05-11","2","L"
"05-16","2","L"
"05-21","3","L"
"05-26","2","L"
"05-31","1","L"
"06-05","2","L"
"06-10","1","L"
"06-15","1","L"
"06-20","1","L"
"06-25","1","L"
"06-30","2","L"
"07-05","4","M"
"07-10","3","L"
"07-15","2","L"
"07-20","2","L"
"07-25","4","M"
"07-30","2","L"
"08-04","3","L"
"08-09","3","L"
"08-14","2","L"
"08-19","3","L"
"08-24","3","L"
"08-29","4","M"
"09-03","2","L"
"09-08","4","M"
"09-13","4","M"
"09-18","5","M"
"09-23","2","L"
"09-28","2","L"
"10-03","3","L"
"10-08","2","L"
"10-13","1","L"
"10-18","2","L"
"10-23","2","L"
"10-28","2","L"
"11-02","2","L"
"11-07","2","L"
"11-12","3","L"
"11-17","2","L"
"11-22","1","L"
"11-27","2","L"
"12-02","3","L"
