"StartDate","Count","Class"
"01-01","1","L"
"01-06","0","L"
"01-11","3","L"
"01-16","2","L"
"01-21","3","L"
"01-26","3","L"
"01-31","4","M"
"02-05","5","M"
"02-10","5","M"
"02-15","5","M"
"02-20","6","M"
"02-25","6","M"
"03-02","6","M"
"03-07","5","M"
"03-12","2","L"
"03-17","3","L"
"03-22","2","L"
"03-27","3","L"
"04-01","6","M"
"04-06","5","M"
"04-11","7","H"
"04-16","6","M"
"04-21","5","M"
"04-26","6","M"
"05-01","6","M"
"05-06","5","M"
"05-11","5","M"
"05-16","5","M"
"05-21","4","M"
"05-26","6","M"
"05-31","5","M"
"06-05","5","M"
"06-10","5","M"
"06-15","2","L"
"06-20","4","M"
"06-25","5","M"
"06-30","4","M"
"07-05","6","M"
"07-10","6","M"
"07-15","8","H"
"07-20","7","H"
"07-25","3","L"
"07-30","4","M"
"08-04","6","M"
"08-09","6","M"
"08-14","4","M"
"08-19","6","M"
"08-24","6","M"
"08-29","4","M"
"09-03","6","M"
"09-08","4","M"
"09-13","4","M"
"09-18","5","M"
"09-23","2","L"
"09-28","5","M"
"10-03","3","L"
"10-08","2","L"
"10-13","4","M"
"10-18","3","L"
"10-23","2","L"
"10-28","3","L"
"11-02","2","L"
"11-07","0","L"
"11-12","0","L"
"11-17","0","L"
"11-22","1","L"
"11-27","1","L"
"12-02","1","L"
