"StartDate","Count","Class"
"01-01","4","M"
"01-06","6","M"
"01-11","5","M"
"01-16","6","M"
"01-21","5","M"
"01-26","4","M"
"01-31","4","M"
"02-05","3","L"
"02-10","3","L"
"02-15","2","L"
"02-20","2","L"
"02-25","3","L"
"03-02","3","L"
"03-07","3","L"
"03-12","1","L"
"03-17","1","L"
"03-22","2","L"
"03-27","1","L"
"04-01","1","L"
"04-06","1","L"
"04-11","2","L"
"04-16","2","L"
"04-21","1","L"
"04-26","1","L"
"05-01","2","L"
"05-06","1","L"
"05-11","1","L"
"05-16","2","L"
"05-21","2","L"
"05-26","2","L"
"05-31","4","M"
"06-05","4","M"
"06-10","4","M"
"06-15","2","L"
"06-20","3","L"
"06-25","2","L"
"06-30","0","L"
"07-05","0","L"
"07-10","1","L"
"07-15","1","L"
"07-20","2","L"
"07-25","6","M"
"07-30","4","M"
"08-04","2","L"
"08-09","2","L"
"08-14","2","L"
"08-19","1","L"
"08-24","1","L"
"08-29","0","L"
"09-03","3","L"
"09-08","0","L"
"09-13","2","L"
"09-18","4","M"
"09-23","3","L"
"09-28","4","M"
"10-03","4","M"
"10-08","4","M"
"10-13","3","L"
"10-18","4","M"
"10-23","2","L"
"10-28","2","L"
"11-02","2","L"
"11-07","2","L"
"11-12","5","M"
"11-17","4","M"
"11-22","5","M"
"11-27","6","M"
"12-02","6","M"
