"StartDate","Count","Class"
"01-01","3","L"
"01-06","5","M"
"01-11","7","H"
"01-16","7","H"
"01-21","7","H"
"01-26","6","M"
"01-31","5","M"
"02-05","8","H"
"02-10","7","H"
"02-15","4","M"
"02-20","7","H"
"02-25","8","H"
"03-02","5","M"
"03-07","6","M"
"03-12","6","M"
"03-17","5","M"
"03-22","5","M"
"03-27","7","H"
"04-01","6","M"
"04-06","7","H"
"04-11","7","H"
"04-16","6","M"
"04-21","6","M"
"04-26","4","M"
"05-01","4","M"
"05-06","5","M"
"05-11","4","M"
"05-16","5","M"
"05-21","6","M"
"05-26","5","M"
"05-31","3","L"
"06-05","2","L"
"06-10","2","L"
"06-15","5","M"
"06-20","4","M"
"06-25","4","M"
"06-30","3","L"
"07-05","1","L"
"07-10","1","L"
"07-15","2","L"
"07-20","3","L"
"07-25","4","M"
"07-30","6","M"
"08-04","5","M"
"08-09","4","M"
"08-14","6","M"
"08-19","5","M"
"08-24","6","M"
"08-29","5","M"
"09-03","5","M"
"09-08","4","M"
"09-13","5","M"
"09-18","5","M"
"09-23","6","M"
"09-28","7","H"
"10-03","6","M"
"10-08","6","M"
"10-13","6","M"
"10-18","4","M"
"10-23","3","L"
"10-28","4","M"
"11-02","4","M"
"11-07","4","M"
"11-12","4","M"
"11-17","4","M"
"11-22","5","M"
"11-27","4","M"
"12-02","3","L"
