"StartDate","Count","Class"
"01-01","4","M"
"01-06","5","M"
"01-11","5","M"
"01-16","6","M"
"01-21","4","M"
"01-26","4","M"
"01-31","3","L"
"02-05","2","L"
"02-10","1","L"
"02-15","4","M"
"02-20","4","M"
"02-25","5","M"
"03-02","4","M"
"03-07","5","M"
"03-12","6","M"
"03-17","4","M"
"03-22","5","M"
"03-27","5","M"
"04-01","5","M"
"04-06","3","L"
"04-11","3","L"
"04-16","3","L"
"04-21","3","L"
"04-26","3","L"
"05-01","4","M"
"05-06","2","L"
"05-11","2","L"
"05-16","1","L"
"05-21","1","L"
"05-26","2","L"
"05-31","1","L"
"06-05","1","L"
"06-10","1","L"
"06-15","0","L"
"06-20","1","L"
"06-25","2","L"
"06-30","0","L"
"07-05","1","L"
"07-10","3","L"
"07-15","2","L"
"07-20","2","L"
"07-25","2","L"
"07-30","0","L"
"08-04","1","L"
"08-09","1","L"
"08-14","2","L"
"08-19","2","L"
"08-24","1","L"
"08-29","2","L"
"09-03","2","L"
"09-08","0","L"
"09-13","2","L"
"09-18","2","L"
"09-23","3","L"
"09-28","3","L"
"10-03","2","L"
"10-08","2","L"
"10-13","5","M"
"10-18","4","M"
"10-23","5","M"
"10-28","6","M"
"11-02","7","H"
"11-07","4","M"
"11-12","5","M"
"11-17","4","M"
"11-22","5","M"
"11-27","5","M"
"12-02","4","M"
