"StartDate","Count","Class"
"01-01","4","M"
"01-06","1","L"
"01-11","2","L"
"01-16","4","M"
"01-21","3","L"
"01-26","4","M"
"01-31","3","L"
"02-05","3","L"
"02-10","5","M"
"02-15","2","L"
"02-20","3","L"
"02-25","5","M"
"03-02","4","M"
"03-07","6","M"
"03-12","6","M"
"03-17","7","H"
"03-22","6","M"
"03-27","7","H"
"04-01","5","M"
"04-06","6","M"
"04-11","4","M"
"04-16","5","M"
"04-21","3","L"
"04-26","2","L"
"05-01","4","M"
"05-06","4","M"
"05-11","2","L"
"05-16","2","L"
"05-21","2","L"
"05-26","0","L"
"05-31","0","L"
"06-05","1","L"
"06-10","2","L"
"06-15","0","L"
"06-20","1","L"
"06-25","2","L"
"06-30","1","L"
"07-05","0","L"
"07-10","0","L"
"07-15","1","L"
"07-20","1","L"
"07-25","1","L"
"07-30","1","L"
"08-04","1","L"
"08-09","1","L"
"08-14","1","L"
"08-19","0","L"
"08-24","5","M"
"08-29","1","L"
"09-03","1","L"
"09-08","1","L"
"09-13","2","L"
"09-18","3","L"
"09-23","2","L"
"09-28","2","L"
"10-03","1","L"
"10-08","1","L"
"10-13","3","L"
"10-18","3","L"
"10-23","4","M"
"10-28","5","M"
"11-02","5","M"
"11-07","6","M"
"11-12","3","L"
"11-17","3","L"
"11-22","2","L"
"11-27","1","L"
"12-02","0","L"
