"StartDate","Count","Class"
"01-01","5","M"
"01-06","5","M"
"01-11","5","M"
"01-16","5","M"
"01-21","4","M"
"01-26","3","L"
"01-31","5","M"
"02-05","4","M"
"02-10","4","M"
"02-15","5","M"
"02-20","1","L"
"02-25","2","L"
"03-02","1","L"
"03-07","3","L"
"03-12","3","L"
"03-17","4","M"
"03-22","3","L"
"03-27","2","L"
"04-01","2","L"
"04-06","1","L"
"04-11","3","L"
"04-16","2","L"
"04-21","4","M"
"04-26","3","L"
"05-01","4","M"
"05-06","3","L"
"05-11","3","L"
"05-16","3","L"
"05-21","4","M"
"05-26","2","L"
"05-31","2","L"
"06-05","1","L"
"06-10","1","L"
"06-15","3","L"
"06-20","1","L"
"06-25","1","L"
"06-30","2","L"
"07-05","3","L"
"07-10","2","L"
"07-15","4","M"
"07-20","2","L"
"07-25","2","L"
"07-30","2","L"
"08-04","3","L"
"08-09","4","M"
"08-14","4","M"
"08-19","4","M"
"08-24","3","L"
"08-29","3","L"
"09-03","3","L"
"09-08","1","L"
"09-13","2","L"
"09-18","2","L"
"09-23","1","L"
"09-28","2","L"
"10-03","4","M"
"10-08","4","M"
"10-13","5","M"
"10-18","5","M"
"10-23","4","M"
"10-28","4","M"
"11-02","3","L"
"11-07","3","L"
"11-12","3","L"
"11-17","4","M"
"11-22","4","M"
"11-27","1","L"
"12-02","3","L"
