"StartDate","Count","Class"
"01-01","1","L"
"01-06","1","L"
"01-11","1","L"
"01-16","0","L"
"01-21","0","L"
"01-26","0","L"
"01-31","2","L"
"02-05","2","L"
"02-10","2","L"
"02-15","2","L"
"02-20","4","M"
"02-25","4","M"
"03-02","7","H"
"03-07","7","H"
"03-12","5","M"
"03-17","5","M"
"03-22","7","H"
"03-27","8","H"
"04-01","9","H"
"04-06","9","H"
"04-11","9","H"
"04-16","8","H"
"04-21","7","H"
"04-26","7","H"
"05-01","7","H"
"05-06","6","M"
"05-11","4","M"
"05-16","4","M"
"05-21","4","M"
"05-26","2","L"
"05-31","1","L"
"06-05","1","L"
"06-10","1","L"
"06-15","2","L"
"06-20","1","L"
"06-25","1","L"
"06-30","2","L"
"07-05","2","L"
"07-10","1","L"
"07-15","1","L"
"07-20","2","L"
"07-25","2","L"
"07-30","1","L"
"08-04","2","L"
"08-09","3","L"
"08-14","4","M"
"08-19","4","M"
"08-24","3","L"
"08-29","5","M"
"09-03","6","M"
"09-08","5","M"
"09-13","5","M"
"09-18","7","H"
"09-23","7","H"
"09-28","7","H"
"10-03","8","H"
"10-08","6","M"
"10-13","4","M"
"10-18","2","L"
"10-23","0","L"
"10-28","0","L"
"11-02","2","L"
"11-07","0","L"
"11-12","2","L"
"11-17","3","L"
"11-22","2","L"
"11-27","1","L"
"12-02","1","L"
