"StartDate","Count","Class"
"01-01","3","L"
"01-06","4","M"
"01-11","4","M"
"01-16","5","M"
"01-21","5","M"
"01-26","6","M"
"01-31","5","M"
"02-05","5","M"
"02-10","4","M"
"02-15","6","M"
"02-20","3","L"
"02-25","1","L"
"03-02","2","L"
"03-07","4","M"
"03-12","3","L"
"03-17","4","M"
"03-22","3","L"
"03-27","3","L"
"04-01","1","L"
"04-06","1","L"
"04-11","2","L"
"04-16","1","L"
"04-21","2","L"
"04-26","1","L"
"05-01","2","L"
"05-06","2","L"
"05-11","1","L"
"05-16","1","L"
"05-21","1","L"
"05-26","1","L"
"05-31","0","L"
"06-05","1","L"
"06-10","2","L"
"06-15","1","L"
"06-20","3","L"
"06-25","3","L"
"06-30","0","L"
"07-05","3","L"
"07-10","2","L"
"07-15","1","L"
"07-20","2","L"
"07-25","1","L"
"07-30","1","L"
"08-04","2","L"
"08-09","3","L"
"08-14","3","L"
"08-19","5","M"
"08-24","6","M"
"08-29","6","M"
"09-03","6","M"
"09-08","6","M"
"09-13","5","M"
"09-18","5","M"
"09-23","3","L"
"09-28","4","M"
"10-03","5","M"
"10-08","5","M"
"10-13","4","M"
"10-18","5","M"
"10-23","5","M"
"10-28","5","M"
"11-02","3","L"
"11-07","2","L"
"11-12","4","M"
"11-17","3","L"
"11-22","3","L"
"11-27","4","M"
"12-02","5","M"
