"StartDate","Count","Class"
"01-01","0","L"
"01-06","3","L"
"01-11","2","L"
"01-16","1","L"
"01-21","1","L"
"01-26","3","L"
"01-31","3","L"
"02-05","3","L"
"02-10","4","M"
"02-15","4","M"
"02-20","4","M"
"02-25","3","L"
"03-02","5","M"
"03-07","3","L"
"03-12","4","M"
"03-17","3","L"
"03-22","3","L"
"03-27","2","L"
"04-01","4","M"
"04-06","5","M"
"04-11","5","M"
"04-16","4","M"
"04-21","3","L"
"04-26","4","M"
"05-01","6","M"
"05-06","6","M"
"05-11","6","M"
"05-16","4","M"
"05-21","3","L"
"05-26","0","L"
"05-31","3","L"
"06-05","3","L"
"06-10","3","L"
"06-15","2","L"
"06-20","1","L"
"06-25","1","L"
"06-30","0","L"
"07-05","4","M"
"07-10","3","L"
"07-15","3","L"
"07-20","3","L"
"07-25","4","M"
"07-30","5","M"
"08-04","5","M"
"08-09","3","L"
"08-14","3","L"
"08-19","3","L"
"08-24","2","L"
"08-29","2","L"
"09-03","6","M"
"09-08","5","M"
"09-13","6","M"
"09-18","7","H"
"09-23","7","H"
"09-28","6","M"
"10-03","6","M"
"10-08","6","M"
"10-13","4","M"
"10-18","3","L"
"10-23","2","L"
"10-28","3","L"
"11-02","3","L"
"11-07","1","L"
"11-12","2","L"
"11-17","2","L"
"11-22","2","L"
"11-27","1","L"
"12-02","1","L"
