"StartDate","Count","Class"
"01-01","4","M"
"01-06","4","M"
"01-11","6","M"
"01-16","7","H"
"01-21","8","H"
"01-26","4","M"
"01-31","2","L"
"02-05","3","L"
"02-10","4","M"
"02-15","6","M"
"02-20","6","M"
"02-25","6","M"
"03-02","6","M"
"03-07","5","M"
"03-12","5","M"
"03-17","2","L"
"03-22","3","L"
"03-27","4","M"
"04-01","2","L"
"04-06","5","M"
"04-11","2","L"
"04-16","3","L"
"04-21","2","L"
"04-26","1","L"
"05-01","0","L"
"05-06","0","L"
"05-11","0","L"
"05-16","0","L"
"05-21","2","L"
"05-26","1","L"
"05-31","0","L"
"06-05","0","L"
"06-10","1","L"
"06-15","2","L"
"06-20","0","L"
"06-25","0","L"
"06-30","0","L"
"07-05","0","L"
"07-10","1","L"
"07-15","1","L"
"07-20","1","L"
"07-25","0","L"
"07-30","1","L"
"08-04","0","L"
"08-09","0","L"
"08-14","0","L"
"08-19","0","L"
"08-24","0","L"
"08-29","0","L"
"09-03","0","L"
"09-08","2","L"
"09-13","3","L"
"09-18","3","L"
"09-23","3","L"
"09-28","4","M"
"10-03","5","M"
"10-08","4","M"
"10-13","8","H"
"10-18","7","H"
"10-23","6","M"
"10-28","5","M"
"11-02","7","H"
"11-07","7","H"
"11-12","7","H"
"11-17","6","M"
"11-22","6","M"
"11-27","7","H"
"12-02","7","H"
