"StartDate","Count","Class"
"01-01","8","H"
"01-06","9","H"
"01-11","8","H"
"01-16","7","H"
"01-21","9","H"
"01-26","7","H"
"01-31","6","M"
"02-05","6","M"
"02-10","8","H"
"02-15","7","H"
"02-20","8","H"
"02-25","7","H"
"03-02","7","H"
"03-07","7","H"
"03-12","4","M"
"03-17","4","M"
"03-22","5","M"
"03-27","4","M"
"04-01","5","M"
"04-06","6","M"
"04-11","6","M"
"04-16","5","M"
"04-21","5","M"
"04-26","5","M"
"05-01","1","L"
"05-06","1","L"
"05-11","0","L"
"05-16","1","L"
"05-21","1","L"
"05-26","2","L"
"05-31","2","L"
"06-05","2","L"
"06-10","1","L"
"06-15","0","L"
"06-20","1","L"
"06-25","2","L"
"06-30","2","L"
"07-05","1","L"
"07-10","0","L"
"07-15","1","L"
"07-20","1","L"
"07-25","1","L"
"07-30","0","L"
"08-04","1","L"
"08-09","3","L"
"08-14","2","L"
"08-19","3","L"
"08-24","1","L"
"08-29","2","L"
"09-03","2","L"
"09-08","2","L"
"09-13","2","L"
"09-18","3","L"
"09-23","3","L"
"09-28","3","L"
"10-03","5","M"
"10-08","3","L"
"10-13","2","L"
"10-18","4","M"
"10-23","4","M"
"10-28","6","M"
"11-02","6","M"
"11-07","7","H"
"11-12","8","H"
"11-17","9","H"
"11-22","8","H"
"11-27","5","M"
"12-02","7","H"
