"StartDate","Count","Class"
"01-01","1","L"
"01-06","1","L"
"01-11","1","L"
"01-16","1","L"
"01-21","0","L"
"01-26","2","L"
"01-31","2","L"
"02-05","2","L"
"02-10","6","M"
"02-15","5","M"
"02-20","4","M"
"02-25","5","M"
"03-02","4","M"
"03-07","3","L"
"03-12","3","L"
"03-17","5","M"
"03-22","7","H"
"03-27","6","M"
"04-01","5","M"
"04-06","5","M"
"04-11","3","L"
"04-16","4","M"
"04-21","3","L"
"04-26","2","L"
"05-01","2","L"
"05-06","3","L"
"05-11","3","L"
"05-16","3","L"
"05-21","4","M"
"05-26","1","L"
"05-31","0","L"
"06-05","1","L"
"06-10","0","L"
"06-15","0","L"
"06-20","0","L"
"06-25","1","L"
"06-30","1","L"
"07-05","3","L"
"07-10","2","L"
"07-15","3","L"
"07-20","3","L"
"07-25","1","L"
"07-30","2","L"
"08-04","1","L"
"08-09","1","L"
"08-14","1","L"
"08-19","2","L"
"08-24","1","L"
"08-29","2","L"
"09-03","3","L"
"09-08","1","L"
"09-13","1","L"
"09-18","3","L"
"09-23","2","L"
"09-28","1","L"
"10-03","0","L"
"10-08","1","L"
"10-13","2","L"
"10-18","3","L"
"10-23","3","L"
"10-28","3","L"
"11-02","3","L"
"11-07","4","M"
"11-12","5","M"
"11-17","4","M"
"11-22","2","L"
"11-27","0","L"
"12-02","0","L"
