"StartDate","Count","Class"
"01-01","3","L"
"01-06","3","L"
"01-11","1","L"
"01-16","1","L"
"01-21","2","L"
"01-26","2","L"
"01-31","1","L"
"02-05","1","L"
"02-10","2","L"
"02-15","1","L"
"02-20","2","L"
"02-25","3","L"
"03-02","5","M"
"03-07","6","M"
"03-12","5","M"
"03-17","5","M"
"03-22","6","M"
"03-27","4","M"
"04-01","3","L"
"04-06","2","L"
"04-11","3","L"
"04-16","3","L"
"04-21","2","L"
"04-26","4","M"
"05-01","4","M"
"05-06","2","L"
"05-11","4","M"
"05-16","3","L"
"05-21","3","L"
"05-26","3","L"
"05-31","3","L"
"06-05","1","L"
"06-10","2","L"
"06-15","2","L"
"06-20","3","L"
"06-25","3","L"
"06-30","3","L"
"07-05","3","L"
"07-10","3","L"
"07-15","1","L"
"07-20","0","L"
"07-25","0","L"
"07-30","2","L"
"08-04","4","M"
"08-09","3","L"
"08-14","4","M"
"08-19","3","L"
"08-24","3","L"
"08-29","4","M"
"09-03","4","M"
"09-08","5","M"
"09-13","3","L"
"09-18","3","L"
"09-23","4","M"
"09-28","2","L"
"10-03","2","L"
"10-08","1","L"
"10-13","3","L"
"10-18","2","L"
"10-23","3","L"
"10-28","4","M"
"11-02","5","M"
"11-07","5","M"
"11-12","3","L"
"11-17","3","L"
"11-22","3","L"
"11-27","2","L"
"12-02","5","M"
