"StartDate","Count","Class"
"01-01","3","L"
"01-06","6","M"
"01-11","7","H"
"01-16","6","M"
"01-21","4","M"
"01-26","5","M"
"01-31","4","M"
"02-05","4","M"
"02-10","8","H"
"02-15","5","M"
"02-20","6","M"
"02-25","8","H"
"03-02","6","M"
"03-07","7","H"
"03-12","7","H"
"03-17","6","M"
"03-22","5","M"
"03-27","6","M"
"04-01","7","H"
"04-06","3","L"
"04-11","4","M"
"04-16","4","M"
"04-21","4","M"
"04-26","1","L"
"05-01","1","L"
"05-06","3","L"
"05-11","3","L"
"05-16","5","M"
"05-21","2","L"
"05-26","3","L"
"05-31","2","L"
"06-05","2","L"
"06-10","2","L"
"06-15","6","M"
"06-20","3","L"
"06-25","1","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","3","L"
"07-25","3","L"
"07-30","4","M"
"08-04","4","M"
"08-09","4","M"
"08-14","5","M"
"08-19","5","M"
"08-24","5","M"
"08-29","5","M"
"09-03","5","M"
"09-08","3","L"
"09-13","2","L"
"09-18","4","M"
"09-23","4","M"
"09-28","3","L"
"10-03","6","M"
"10-08","6","M"
"10-13","8","H"
"10-18","4","M"
"10-23","2","L"
"10-28","3","L"
"11-02","3","L"
"11-07","3","L"
"11-12","4","M"
"11-17","6","M"
"11-22","4","M"
"11-27","4","M"
"12-02","2","L"
