"StartDate","Count","Class"
"01-01","3","L"
"01-06","5","M"
"01-11","3","L"
"01-16","5","M"
"01-21","6","M"
"01-26","6","M"
"01-31","6","M"
"02-05","7","H"
"02-10","6","M"
"02-15","6","M"
"02-20","7","H"
"02-25","8","H"
"03-02","5","M"
"03-07","5","M"
"03-12","5","M"
"03-17","7","H"
"03-22","7","H"
"03-27","8","H"
"04-01","5","M"
"04-06","7","H"
"04-11","5","M"
"04-16","2","L"
"04-21","3","L"
"04-26","4","M"
"05-01","4","M"
"05-06","5","M"
"05-11","4","M"
"05-16","3","L"
"05-21","4","M"
"05-26","3","L"
"05-31","2","L"
"06-05","0","L"
"06-10","0","L"
"06-15","1","L"
"06-20","2","L"
"06-25","2","L"
"06-30","3","L"
"07-05","2","L"
"07-10","0","L"
"07-15","0","L"
"07-20","0","L"
"07-25","0","L"
"07-30","0","L"
"08-04","1","L"
"08-09","1","L"
"08-14","1","L"
"08-19","4","M"
"08-24","4","M"
"08-29","2","L"
"09-03","1","L"
"09-08","2","L"
"09-13","1","L"
"09-18","1","L"
"09-23","2","L"
"09-28","4","M"
"10-03","3","L"
"10-08","2","L"
"10-13","4","M"
"10-18","2","L"
"10-23","4","M"
"10-28","6","M"
"11-02","6","M"
"11-07","6","M"
"11-12","7","H"
"11-17","6","M"
"11-22","4","M"
"11-27","3","L"
"12-02","4","M"
