"StartDate","Count","Class"
"01-01","9","H"
"01-06","7","H"
"01-11","7","H"
"01-16","7","H"
"01-21","9","H"
"01-26","10","H"
"01-31","9","H"
"02-05","8","H"
"02-10","9","H"
"02-15","9","H"
"02-20","9","H"
"02-25","9","H"
"03-02","9","H"
"03-07","9","H"
"03-12","9","H"
"03-17","9","H"
"03-22","9","H"
"03-27","7","H"
"04-01","7","H"
"04-06","8","H"
"04-11","6","M"
"04-16","6","M"
"04-21","5","M"
"04-26","3","L"
"05-01","2","L"
"05-06","3","L"
"05-11","5","M"
"05-16","5","M"
"05-21","5","M"
"05-26","6","M"
"05-31","5","M"
"06-05","3","L"
"06-10","4","M"
"06-15","3","L"
"06-20","2","L"
"06-25","1","L"
"06-30","1","L"
"07-05","2","L"
"07-10","3","L"
"07-15","2","L"
"07-20","3","L"
"07-25","4","M"
"07-30","5","M"
"08-04","5","M"
"08-09","6","M"
"08-14","6","M"
"08-19","6","M"
"08-24","6","M"
"08-29","7","H"
"09-03","6","M"
"09-08","6","M"
"09-13","6","M"
"09-18","9","H"
"09-23","8","H"
"09-28","7","H"
"10-03","8","H"
"10-08","8","H"
"10-13","9","H"
"10-18","8","H"
"10-23","9","H"
"10-28","8","H"
"11-02","8","H"
"11-07","8","H"
"11-12","9","H"
"11-17","9","H"
"11-22","9","H"
"11-27","7","H"
"12-02","8","H"
