"StartDate","Count","Class"
"01-01","4","M"
"01-06","2","L"
"01-11","1","L"
"01-16","4","M"
"01-21","3","L"
"01-26","3","L"
"01-31","2","L"
"02-05","1","L"
"02-10","2","L"
"02-15","1","L"
"02-20","2","L"
"02-25","2","L"
"03-02","1","L"
"03-07","2","L"
"03-12","1","L"
"03-17","3","L"
"03-22","5","M"
"03-27","5","M"
"04-01","4","M"
"04-06","3","L"
"04-11","2","L"
"04-16","1","L"
"04-21","2","L"
"04-26","3","L"
"05-01","4","M"
"05-06","1","L"
"05-11","3","L"
"05-16","1","L"
"05-21","1","L"
"05-26","0","L"
"05-31","2","L"
"06-05","2","L"
"06-10","1","L"
"06-15","1","L"
"06-20","1","L"
"06-25","1","L"
"06-30","2","L"
"07-05","3","L"
"07-10","2","L"
"07-15","2","L"
"07-20","2","L"
"07-25","3","L"
"07-30","4","M"
"08-04","5","M"
"08-09","7","H"
"08-14","5","M"
"08-19","5","M"
"08-24","3","L"
"08-29","4","M"
"09-03","5","M"
"09-08","4","M"
"09-13","3","L"
"09-18","4","M"
"09-23","5","M"
"09-28","3","L"
"10-03","6","M"
"10-08","3","L"
"10-13","6","M"
"10-18","4","M"
"10-23","3","L"
"10-28","2","L"
"11-02","3","L"
"11-07","2","L"
"11-12","1","L"
"11-17","2","L"
"11-22","4","M"
"11-27","2","L"
"12-02","4","M"
