"StartDate","Count","Class"
"01-01","3","L"
"01-06","4","M"
"01-11","5","M"
"01-16","6","M"
"01-21","5","M"
"01-26","7","H"
"01-31","7","H"
"02-05","9","H"
"02-10","7","H"
"02-15","8","H"
"02-20","9","H"
"02-25","8","H"
"03-02","5","M"
"03-07","5","M"
"03-12","3","L"
"03-17","3","L"
"03-22","6","M"
"03-27","3","L"
"04-01","3","L"
"04-06","1","L"
"04-11","2","L"
"04-16","1","L"
"04-21","0","L"
"04-26","0","L"
"05-01","0","L"
"05-06","1","L"
"05-11","1","L"
"05-16","0","L"
"05-21","0","L"
"05-26","1","L"
"05-31","0","L"
"06-05","0","L"
"06-10","0","L"
"06-15","1","L"
"06-20","2","L"
"06-25","1","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","0","L"
"07-25","0","L"
"07-30","0","L"
"08-04","0","L"
"08-09","1","L"
"08-14","0","L"
"08-19","2","L"
"08-24","2","L"
"08-29","1","L"
"09-03","1","L"
"09-08","2","L"
"09-13","1","L"
"09-18","2","L"
"09-23","3","L"
"09-28","4","M"
"10-03","6","M"
"10-08","6","M"
"10-13","5","M"
"10-18","4","M"
"10-23","4","M"
"10-28","6","M"
"11-02","5","M"
"11-07","3","L"
"11-12","6","M"
"11-17","4","M"
"11-22","3","L"
"11-27","5","M"
"12-02","7","H"
