"StartDate","Count","Class"
"01-01","4","M"
"01-06","5","M"
"01-11","5","M"
"01-16","4","M"
"01-21","5","M"
"01-26","2","L"
"01-31","2","L"
"02-05","4","M"
"02-10","5","M"
"02-15","7","H"
"02-20","5","M"
"02-25","5","M"
"03-02","5","M"
"03-07","6","M"
"03-12","3","L"
"03-17","6","M"
"03-22","5","M"
"03-27","5","M"
"04-01","5","M"
"04-06","4","M"
"04-11","5","M"
"04-16","3","L"
"04-21","3","L"
"04-26","4","M"
"05-01","2","L"
"05-06","2","L"
"05-11","1","L"
"05-16","1","L"
"05-21","2","L"
"05-26","2","L"
"05-31","5","M"
"06-05","5","M"
"06-10","3","L"
"06-15","3","L"
"06-20","2","L"
"06-25","3","L"
"06-30","4","M"
"07-05","3","L"
"07-10","2","L"
"07-15","3","L"
"07-20","3","L"
"07-25","2","L"
"07-30","2","L"
"08-04","4","M"
"08-09","3","L"
"08-14","3","L"
"08-19","2","L"
"08-24","2","L"
"08-29","3","L"
"09-03","3","L"
"09-08","5","M"
"09-13","5","M"
"09-18","4","M"
"09-23","4","M"
"09-28","5","M"
"10-03","6","M"
"10-08","5","M"
"10-13","4","M"
"10-18","4","M"
"10-23","5","M"
"10-28","7","H"
"11-02","7","H"
"11-07","4","M"
"11-12","5","M"
"11-17","4","M"
"11-22","4","M"
"11-27","4","M"
"12-02","5","M"
