"StartDate","Count","Class"
"01-01","4","M"
"01-06","1","L"
"01-11","2","L"
"01-16","2","L"
"01-21","2","L"
"01-26","4","M"
"01-31","4","M"
"02-05","5","M"
"02-10","5","M"
"02-15","4","M"
"02-20","4","M"
"02-25","5","M"
"03-02","5","M"
"03-07","4","M"
"03-12","1","L"
"03-17","2","L"
"03-22","2","L"
"03-27","2","L"
"04-01","2","L"
"04-06","1","L"
"04-11","0","L"
"04-16","2","L"
"04-21","1","L"
"04-26","1","L"
"05-01","1","L"
"05-06","1","L"
"05-11","1","L"
"05-16","2","L"
"05-21","2","L"
"05-26","1","L"
"05-31","0","L"
"06-05","0","L"
"06-10","1","L"
"06-15","1","L"
"06-20","3","L"
"06-25","1","L"
"06-30","1","L"
"07-05","2","L"
"07-10","2","L"
"07-15","1","L"
"07-20","1","L"
"07-25","3","L"
"07-30","4","M"
"08-04","4","M"
"08-09","3","L"
"08-14","2","L"
"08-19","4","M"
"08-24","5","M"
"08-29","4","M"
"09-03","6","M"
"09-08","7","H"
"09-13","8","H"
"09-18","6","M"
"09-23","8","H"
"09-28","8","H"
"10-03","6","M"
"10-08","5","M"
"10-13","6","M"
"10-18","6","M"
"10-23","6","M"
"10-28","5","M"
"11-02","4","M"
"11-07","3","L"
"11-12","3","L"
"11-17","4","M"
"11-22","2","L"
"11-27","3","L"
"12-02","3","L"
