"StartDate","Count","Class"
"01-01","4","M"
"01-06","5","M"
"01-11","5","M"
"01-16","4","M"
"01-21","8","H"
"01-26","8","H"
"01-31","5","M"
"02-05","5","M"
"02-10","5","M"
"02-15","6","M"
"02-20","8","H"
"02-25","8","H"
"03-02","8","H"
"03-07","8","H"
"03-12","5","M"
"03-17","5","M"
"03-22","5","M"
"03-27","6","M"
"04-01","5","M"
"04-06","5","M"
"04-11","4","M"
"04-16","3","L"
"04-21","1","L"
"04-26","2","L"
"05-01","2","L"
"05-06","1","L"
"05-11","3","L"
"05-16","3","L"
"05-21","5","M"
"05-26","2","L"
"05-31","4","M"
"06-05","2","L"
"06-10","3","L"
"06-15","2","L"
"06-20","1","L"
"06-25","2","L"
"06-30","1","L"
"07-05","0","L"
"07-10","1","L"
"07-15","0","L"
"07-20","0","L"
"07-25","1","L"
"07-30","2","L"
"08-04","2","L"
"08-09","0","L"
"08-14","0","L"
"08-19","1","L"
"08-24","2","L"
"08-29","4","M"
"09-03","5","M"
"09-08","5","M"
"09-13","6","M"
"09-18","3","L"
"09-23","2","L"
"09-28","2","L"
"10-03","5","M"
"10-08","4","M"
"10-13","6","M"
"10-18","6","M"
"10-23","7","H"
"10-28","6","M"
"11-02","5","M"
"11-07","6","M"
"11-12","7","H"
"11-17","7","H"
"11-22","7","H"
"11-27","7","H"
"12-02","7","H"
